N	3gram	Propp_Isto	Analitik
1	в том что	4	25
2	не может быть	6	19
3	по отношению к	2	18
4	о том что	5	15
5	в данном случае	2	14
6	подобно тому как	2	9
7	с одной стороны	7	9
8	с другой стороны	10	9
9	в том чтобы	2	9
10	не только в	2	8
11	как и в	4	8
12	тем не менее	6	6
13	но и в	2	5
14	в этом случае	13	5
15	для того чтобы	3	4
16	не в том	2	4
17	и тем самым	2	4
18	в том числе	3	3
19	в связи с	6	3
20	и то что	3	3
21	одно и то	2	2
22	в таких случаях	2	2
23	и то же	2	2
24	на этот вопрос	2	2
25	ничего не говорит	2	2
26	о чем речь	4	2
27	здесь мы имеем	4	2
28	друг с другом	2	2
29	этой точки зрения	2	2
30	в этих случаях	7	2
31	с этой точки	2	2
32	до сих пор	7	2
33	здесь как и	2	2
34	на то что	3	2
