N	2gram	Tiupa_Anal	Tragedij
1	и в	36	18
2	в романе	3	10
3	в году	5	9
4	в этом	19	9
5	не только	40	8
6	и не	14	7
7	он сам	2	7
8	и на	5	7
9	как бы	14	7
10	может быть	19	7
11	ивана петровича	11	6
12	же время	7	6
13	что он	5	6
14	но в	8	6
15	и его	18	6
16	у него	2	6
17	несмотря на	2	5
18	к жизни	5	5
19	все же	6	5
20	это не	4	5
21	то же	7	5
22	как и	27	5
23	в дальнейшем	2	5
24	так и	19	5
25	не может	3	5
26	в то	8	5
27	что в	15	4
28	еще не	7	4
29	в целом	8	4
30	но и	26	4
31	прежде всего	7	4
32	об этом	3	4
33	том что	19	4
34	в этой	10	4
35	и что	2	4
36	и все	3	4
37	все это	5	4
38	в нем	3	4
39	то что	5	4
40	но это	3	4
41	я не	3	4
42	и даже	12	4
43	в себе	7	4
44	один из	6	3
45	своего рода	17	3
46	и как	5	3
47	в мире	17	3
48	уже в	5	3
49	тем самым	8	3
50	в своем	7	3
51	при этом	19	3
52	в его	12	3
53	все эти	2	3
54	мог бы	3	3
55	и он	4	3
56	отнюдь не	7	3
57	о чем	5	3
58	с ее	3	3
59	и сам	8	3
60	как в	9	3
61	как это	7	3
62	жизнь и	3	3
63	для него	8	3
64	то есть	15	3
65	в конце	6	3
66	с ним	2	3
67	никогда не	7	2
68	в самом	7	2
69	и то	2	2
70	данном случае	11	2
71	по поводу	5	2
72	с тем	2	2
73	одна из	6	2
74	тем что	3	2
75	перед нами	7	2
76	в одном	4	2
77	любви и	2	2
78	его в	4	2
79	ничего не	3	2
80	поведение в	2	2
81	в данном	12	2
82	не могут	2	2
83	в ее	5	2
84	но эта	2	2
85	к тому	10	2
86	говорит о	3	2
87	от всего	2	2
88	о том	9	2
89	в ходе	3	2
90	о его	3	2
91	что и	10	2
92	не в	9	2
93	столь же	7	2
94	и здесь	4	2
95	и я	3	2
96	в частности	19	2
97	как у	3	2
98	в таком	2	2
99	лицо его	2	2
100	так что	2	2
101	он не	9	2
102	и ее	3	2
103	в первом	2	2
104	бы и	2	2
105	уже не	9	2
106	только к	2	2
107	что она	3	2
108	на меня	3	2
109	личности и	4	2
110	но они	2	2
111	не так	2	2
112	отличие от	5	2
113	из своих	2	2
114	в том	16	2
115	в глаза	2	2
116	и до	2	2
117	дома и	2	2
118	в глазах	6	2
119	который в	4	2
120	не случайно	13	2
121	в отличие	5	2
122	как говорит	4	2
123	не мог	4	2
124	его за	2	2
125	он и	4	2
126	с его	15	2
127	во сне	3	2
128	он был	3	2
129	времени в	3	2
130	отношение к	2	2
