N	3gram	Vinokur_St	Dialekti
1	и т д	25	75
2	с точки зрения	10	46
3	по крайней мере	2	26
4	в том что	29	25
5	не может быть	5	18
6	тем не менее	4	16
7	то же время	5	15
8	в то же	5	14
9	т д и	2	14
10	о том что	19	12
11	с другой стороны	8	12
12	на то что	5	11
13	в самом деле	7	10
14	т е в	3	10
15	иметь в виду	2	9
16	то или иное	3	9
17	и в этом	4	9
18	не значит что	3	8
19	не только не	2	8
20	в то время	2	8
21	в этом смысле	2	8
22	вовсе не в	2	7
23	говоря уже о	2	7
24	т е не	2	7
25	сами по себе	2	7
26	не говоря уже	2	7
27	не в том	3	7
28	точно так же	2	7
29	так или иначе	3	7
30	более или менее	2	6
31	для того чтобы	13	6
32	может быть и	2	6
33	во всяком случае	8	6
34	в зависимости от	2	6
35	с одной стороны	2	6
36	только потому что	2	6
37	не имеет ничего	2	5
38	что в нем	2	5
39	на самом деле	7	5
40	и даже не	2	5
41	в конце концов	2	5
42	ничего общего с	3	5
43	имеет ничего общего	2	5
44	до сих пор	12	5
45	к тому что	4	5
46	в том смысле	4	5
47	я думаю что	4	4
48	так же как	5	4
49	как бы ни	2	4
50	в данном случае	7	4
51	и т п	11	4
52	что это не	2	4
53	к тому же	2	4
54	в этом отношении	13	4
55	т д но	4	4
56	я не могу	2	4
57	можно было бы	8	4
58	том смысле что	2	4
59	это не значит	3	4
60	бы то ни	2	3
61	уже о том	2	3
62	но в то	2	3
63	с самого начала	3	3
64	как и в	2	3
65	если бы мы	2	3
66	того что именно	2	3
67	речь идет о	3	3
68	не только в	4	3
69	на точку зрения	2	3
70	но все же	3	3
71	того или иного	4	3
72	что он не	5	2
73	вопрос о том	4	2
74	дело не в	2	2
75	но все это	2	2
76	в обоих случаях	2	2
77	сомневаться в том	2	2
78	в это время	3	2
79	из них и	2	2
80	хотя бы и	2	2
81	том что в	4	2
82	что и в	4	2
83	дело в том	7	2
84	и в том	3	2
85	сказать что в	3	2
86	но также и	5	2
87	как и вообще	2	2
88	в таком виде	2	2
89	и то что	2	2
