N	2gram	Medvedev_S	Narrotol
1	не только	3	62
2	но и	2	45
3	в частности	2	31
4	может быть	2	30
5	и в	3	30
6	в том	5	29
7	том что	2	28
8	в этом	5	28
9	только в	2	25
10	не в	3	23
11	то что	2	23
12	в его	3	16
13	то же	2	13
14	как бы	2	12
15	по отношению	2	11
16	отношению к	2	11
17	еще не	2	9
18	что в	2	9
19	далеко не	2	9
20	в конце	2	7
21	в результате	2	6
22	таким образом	2	6
23	было бы	2	5
24	тем более	2	5
25	как будто	2	5
26	для нас	3	4
27	или даже	2	4
28	по природе	2	3
29	дело не	2	3
30	и что	2	3
31	и только	3	3
32	очевидно что	2	2
33	она может	2	2
34	и мы	2	2
35	все это	7	2
36	должна быть	2	2
37	к которому	2	2
38	более чем	3	2
39	это и	2	2
40	как только	2	2
