N	2gram	Propp_Isto	FransuaR
1	и в	40	367
2	в этом	13	112
3	и не	19	101
4	таким образом	13	100
5	и его	5	99
6	в его	10	98
7	прежде всего	15	92
8	не только	28	87
9	мы уже	7	85
10	но и	21	84
11	как бы	6	82
12	все эти	6	79
13	вовсе не	3	77
14	как и	5	76
15	в нем	8	75
16	но в	13	75
17	в эпоху	2	75
18	и др	11	72
19	и на	6	72
20	в том	12	71
21	как мы	3	71
22	то же	21	66
23	так и	13	65
24	в этой	9	65
25	в них	2	65
26	в сущности	2	64
27	и с	5	64
28	во время	5	63
29	в то	4	63
30	все это	6	62
31	во всех	3	62
32	что в	19	52
33	в своем	5	51
34	только в	16	48
35	так как	20	46
36	том что	11	45
37	здесь в	4	41
38	то что	17	41
39	у него	5	40
40	в ней	10	37
41	может быть	37	35
42	мы видим	16	35
43	он был	3	35
44	о том	12	35
45	сказать что	7	34
46	и даже	4	34
47	в себе	6	34
48	он не	10	32
49	мы видели	4	32
50	для него	2	32
51	в своей	2	31
52	так же	18	30
53	никогда не	25	30
54	и потому	3	30
55	один из	10	30
56	потому что	12	30
57	но он	5	30
58	в этих	17	29
59	не может	19	29
60	еще не	14	29
61	его в	15	29
62	не в	11	29
63	при этом	6	29
64	в одном	8	29
65	в особенности	3	29
66	связи с	10	29
67	что он	32	29
68	из них	5	28
69	в основе	4	28
70	всех этих	4	28
71	также и	3	28
72	роль в	3	27
73	сих пор	12	27
74	и другие	7	27
75	до сих	11	27
76	и их	4	27
77	все же	17	27
78	кроме того	3	26
79	на самом	3	25
80	в области	2	25
81	но это	8	25
82	того чтобы	3	24
83	в ее	2	24
84	и от	2	24
85	в частности	3	24
86	например в	7	24
87	но не	7	24
88	в большинстве	4	24
89	как в	7	24
90	он и	3	24
91	своего рода	2	23
92	так сказать	3	23
93	и для	5	23
94	это не	8	23
95	в их	6	23
96	с ним	3	23
97	еще и	2	23
98	и здесь	15	23
99	есть и	2	23
100	к нему	3	23
101	большинстве случаев	4	23
102	связь с	8	22
103	даже в	5	22
104	а в	15	22
105	что и	9	22
106	там где	5	22
107	тем что	7	22
108	вместе с	13	22
109	не было	3	22
110	именно в	5	21
111	в себя	2	21
112	в качестве	8	21
113	что это	12	21
114	и наконец	5	21
115	ни в	2	21
116	одним из	2	21
117	и как	3	21
118	уже в	2	21
119	образов и	2	20
120	в образе	3	20
121	а также	2	20
122	как раз	2	20
123	одной из	6	20
124	в виду	2	20
125	самом деле	2	20
126	и это	2	20
127	в связи	7	20
128	в форме	3	19
129	в дальнейшем	6	19
130	их в	7	19
131	во всем	3	19
132	к этому	2	19
133	в ту	2	19
134	в эту	3	19
135	было бы	11	19
136	с другой	8	19
137	с ее	2	19
138	связанные с	3	18
139	на этом	3	18
140	здесь не	5	18
141	превращается в	4	18
142	но они	6	18
143	перед нами	5	18
144	одна из	4	18
145	связан с	4	18
146	связанных с	2	17
147	но все	9	17
148	того что	6	17
149	можно было	8	17
150	в результате	2	17
151	связана с	7	17
152	века и	2	17
153	на его	2	17
154	и вот	2	17
155	такой же	2	17
156	конечно не	2	17
157	большей или	2	17
158	а не	18	17
159	между тем	2	16
160	или меньшей	2	16
161	тот же	3	16
162	ничего не	6	16
163	в свете	4	16
164	в начале	3	16
165	между ними	2	16
166	в другом	6	16
167	они не	8	16
168	дело в	3	16
169	с одной	8	16
170	он дает	2	16
171	одно из	2	15
172	в истории	2	15
173	никто не	3	15
174	мы еще	4	15
175	еще в	2	15
176	xix века	2	15
177	говорили что	3	15
178	а затем	4	15
179	в которой	2	15
180	не мог	4	15
181	в преисподней	2	15
182	из этих	2	15
183	мы не	12	14
184	по существу	7	14
185	и он	4	14
186	в более	2	14
187	и по	4	14
188	в котором	5	14
189	образом в	2	14
