N	2gram	Voloshinov	Stilisti
1	и в	16	42
2	как бы	5	30
3	не только	7	28
4	и т.п	2	25
5	прежде всего	9	22
6	хотя бы	4	18
7	то же	2	16
8	но и	4	16
9	и не	4	14
10	не может	8	13
11	может быть	17	13
12	как и	2	12
13	точки зрения	8	11
14	что мы	2	11
15	мы уже	2	11
16	и как	3	10
17	отнюдь не	4	10
18	в этом	9	10
19	как мы	4	10
20	то что	3	9
21	при этом	6	9
22	мы не	2	9
23	так как	4	8
24	и это	6	8
25	таким образом	9	8
26	с его	7	8
27	никогда не	2	7
28	другими словами	2	7
29	мы можем	9	7
30	так и	4	7
31	только в	4	7
32	и на	4	7
33	было бы	2	7
34	и его	8	7
35	и так	2	6
36	во всех	3	6
37	но ведь	2	6
38	в области	3	6
39	в нем	4	6
40	если б	3	6
41	в его	4	6
42	в этой	4	6
43	с помощью	2	6
44	связанных с	2	5
45	и наконец	4	5
46	и их	4	5
47	своей жизни	2	5
48	самом деле	6	5
49	как это	3	5
50	а в	3	5
51	но в	4	5
52	те же	3	5
53	в самом	2	5
54	и с	8	5
55	с точки	6	5
56	художественного творчества	4	5
57	вместе с	3	5
58	что это	2	4
59	в одном	3	4
60	так же	2	4
61	его в	4	4
62	самого начала	4	4
63	один из	2	4
64	и все	4	4
65	с самого	4	4
66	о том	2	4
67	и пр	12	4
68	что такое	5	4
69	если мы	2	4
70	и к	6	4
71	не существует	2	4
72	мы видим	2	4
73	все это	4	4
74	можно сказать	4	4
75	сказать что	7	3
76	на самом	4	3
77	том что	3	3
78	нуждается в	5	3
79	в начале	2	3
80	и даже	4	3
81	в том	3	3
82	в частности	2	3
83	еще не	5	3
84	только на	3	3
85	совершенно не	8	3
86	и вот	3	3
87	не знает	2	3
88	для него	6	3
89	по своему	2	3
90	и для	2	3
91	нет и	2	3
92	их в	3	3
93	в голову	2	3
94	что оно	2	3
95	быть может	2	3
96	между ними	3	3
97	не будет	2	3
98	для нас	2	3
99	жизни и	3	3
100	что и	2	3
101	все эти	5	3
102	конечно не	6	3
103	отношения к	3	3
104	в основе	3	3
105	в каком	2	2
106	для этого	2	2
107	и вообще	2	2
108	все то	2	2
109	и потому	3	2
110	с этим	2	2
111	для всех	4	2
112	с другими	3	2
113	на два	2	2
114	из этих	2	2
115	но как	2	2
116	к этому	2	2
117	отношение к	5	2
118	конечно мы	2	2
119	и содержание	2	2
120	а на	2	2
121	я и	6	2
122	на первый	2	2
123	да еще	2	2
124	в этих	3	2
125	что он	2	2
126	всех его	2	2
127	сих пор	3	2
128	в пределах	2	2
129	в жизни	2	2
130	в душе	2	2
131	и этот	2	2
132	в него	5	2
133	но мы	4	2
134	связанные с	2	2
135	ту же	2	2
136	не есть	2	2
137	между собой	2	2
138	как не	2	2
139	но это	2	2
140	в своей	2	2
141	войти в	2	2
142	он не	2	2
143	с ним	2	2
144	как с	2	2
