N	3gram	Vygotskiy_	VLabPisa
1	в этом отношении	6	14
2	с другой стороны	10	8
3	не может быть	8	8
4	по отношению к	11	7
5	в конечном счете	4	5
6	в то же	2	5
7	в том что	30	5
8	то же время	2	5
9	в зависимости от	8	5
10	вместе с тем	5	4
11	в одном из	2	4
12	в силу этого	4	4
13	к тому что	3	4
14	можно сказать что	5	4
15	в связи с	3	4
16	мы видели что	4	3
17	подобно тому как	2	3
18	для того чтобы	19	3
19	о том что	10	3
20	с одной стороны	14	2
21	не только не	2	2
22	во всяком случае	5	2
23	от того что	2	2
24	в том числе	3	2
25	одной стороны и	3	2
26	только то что	2	2
27	этой точки зрения	2	2
28	том числе и	3	2
29	до сих пор	4	2
30	в другом месте	6	2
31	в том чтобы	6	2
32	приводит к тому	3	2
33	можно было бы	6	2
