N	3gram	Voloshinov	Hudozhes
1	по отношению к	11	10
2	в том что	9	8
3	в то же	6	7
4	в отличие от	2	7
5	то же время	6	7
6	в конечном счете	3	5
7	для того чтобы	3	5
8	не может быть	14	4
9	с точки зрения	15	3
10	с одной стороны	2	3
11	тем не менее	4	3
12	в этом смысле	2	3
13	можно сказать что	5	3
14	внутренней и внешней	3	2
15	то ни было	2	2
16	и прежде всего	7	2
17	бы то ни	3	2
18	в таком случае	4	2
19	в самом деле	10	2
20	том что он	2	2
21	к тому что	2	2
22	во внешнем мире	4	2
23	может быть и	6	2
24	а с другой	2	2
25	в свою очередь	4	2
