N	3gram	Bakhtin_sl	Vvedenie
1	и т д	7	39
2	в том что	4	15
3	о том что	2	13
4	не может быть	11	10
5	тем не менее	2	9
6	до сих пор	4	7
7	в широком смысле	3	7
8	в то же	15	6
9	в этом случае	4	6
10	то же время	15	6
11	во всяком случае	7	5
12	и т п	49	5
13	с другой стороны	5	5
14	не только в	3	4
15	и в том	2	4
16	в данном случае	3	4
17	и в особенности	5	4
18	в этом отношении	2	4
19	и в этом	2	4
20	с одной стороны	7	4
21	по отношению к	2	4
22	в отличие от	12	4
23	с точки зрения	11	4
24	можно было бы	2	4
25	в известном смысле	2	3
26	той или иной	13	3
27	одной стороны и	2	3
28	как мы видели	2	3
29	большей или меньшей	5	3
30	в зависимости от	4	3
31	сама по себе	2	3
32	в собственном смысле	2	3
33	но в то	6	3
34	одно и то	2	2
35	и не могут	2	2
36	и то же	2	2
37	как мы уже	4	2
38	дело не с	2	2
39	уже не только	2	2
40	в первом случае	2	2
41	а также и	3	2
42	а между тем	2	2
43	может быть и	2	2
44	хотя бы и	5	2
45	в связи с	2	2
46	в свою очередь	3	2
47	не могут быть	3	2
