N	2gram	Losev_Vesc	Morfolog
1	и т	37	62
2	может быть	37	61
3	т д	36	60
4	и пр	10	45
5	таким образом	16	26
6	т е	79	25
7	так как	17	20
8	мы имеем	8	19
9	не может	44	19
10	в этом	17	18
11	и в	44	17
12	и не	57	16
13	мы видим	5	15
14	перед нами	3	14
15	с этим	4	14
16	прежде всего	17	14
17	по существу	3	13
18	при помощи	4	12
19	видим что	2	12
20	а не	34	11
21	вопрос о	6	10
22	но если	12	10
23	то же	12	10
24	в том	15	10
25	то что	47	10
26	так и	4	10
27	что в	11	10
28	что и	11	10
29	а затем	2	10
30	все же	18	9
31	но и	19	9
32	с другой	8	9
33	не только	48	8
34	в результате	9	8
35	но не	9	8
36	а в	6	8
37	мы не	8	8
38	в качестве	4	8
39	как мы	6	8
40	том что	13	7
41	тем не	11	7
42	наряду с	2	7
43	не менее	11	7
44	как это	4	7
45	и здесь	5	7
46	точки зрения	10	7
47	во втором	2	7
48	один из	5	7
49	потому что	25	7
50	это не	9	6
51	но это	14	6
52	не все	3	6
53	во всех	5	6
54	и как	12	6
55	или в	3	6
56	и другие	2	6
57	также и	9	6
58	подобно тому	5	6
59	о том	11	6
60	если мы	12	6
61	с точки	6	6
62	может считаться	3	6
63	как бы	19	6
64	вовсе не	11	6
65	одна из	6	5
66	ничего не	12	5
67	и ее	19	5
68	хотя бы	9	5
69	мы можем	4	5
70	было бы	24	5
71	об этом	5	5
72	то мы	3	5
73	со стороны	9	5
74	что он	7	5
75	как в	3	5
76	то это	5	5
77	далеко не	2	5
78	тому что	2	5
79	к тому	3	5
80	из которых	3	5
81	в целом	3	5
82	главным образом	3	5
83	другой стороны	3	5
84	между собой	2	5
85	тому как	5	5
86	все эти	5	5
87	что они	12	5
88	он не	4	5
89	в первом	2	5
90	если же	5	5
91	хотя и	5	5
92	учение о	2	5
93	ясно что	10	5
94	сказать что	21	4
95	его в	8	4
96	независимо от	5	4
97	так же	4	4
98	в то	11	4
99	значит что	32	4
100	можно было	6	4
101	в руки	2	4
102	к этому	2	4
103	на него	3	4
104	есть и	13	4
105	тем что	7	4
106	не является	3	4
107	еще не	12	4
108	могла бы	3	4
109	самом деле	7	4
110	из них	7	4
111	но в	8	4
112	не хватает	2	4
113	но все	3	4
114	и для	13	4
115	как и	15	4
116	оно может	3	4
117	а если	6	4
118	уже не	15	4
119	этот вопрос	6	4
120	на этом	4	4
121	получает в	2	4
122	несмотря на	6	4
123	того чтобы	4	4
124	говорить о	9	4
125	случае не	3	4
126	от того	7	4
127	мы уже	3	4
128	или не	7	3
129	первом случае	2	3
130	как же	6	3
131	то в	4	3
132	время как	4	3
133	утверждать что	2	3
134	но эти	2	3
135	мы должны	5	3
136	а и	13	3
137	но как	3	3
138	здесь не	2	3
139	в которой	5	3
140	в собственном	3	3
141	то ни	13	3
142	вопроса о	3	3
143	это было	2	3
144	даже не	8	3
145	что это	18	3
146	требует чтобы	5	3
147	и их	11	3
148	и у	4	3
149	только что	2	3
150	если бы	8	3
151	в виде	3	3
152	не значит	11	3
153	состоит из	3	3
154	это и	12	3
155	есть нечто	12	3
156	кроме того	5	3
157	же она	2	3
158	и тем	7	3
159	не в	14	3
160	для того	3	3
161	с этой	6	3
162	у нас	9	3
163	собственном смысле	4	3
164	к ней	4	3
165	того что	16	3
166	приводит к	2	3
167	к нему	3	3
168	это уже	2	3
169	на то	9	3
170	ни в	11	3
171	что такое	20	3
172	если это	4	3
173	с собой	2	3
174	вопрос как	3	3
175	но для	2	3
176	не существует	4	3
177	к чему	2	3
178	и вне	2	3
179	совсем не	2	3
180	и что	22	3
181	то с	3	3
182	то время	4	3
183	и тогда	7	3
184	и его	4	3
185	только в	23	3
186	в сущности	7	3
187	и есть	40	3
188	и только	11	3
189	что эти	2	3
190	все еще	3	3
191	в этой	4	3
192	мы будем	3	3
193	бы то	12	3
194	с его	2	3
195	в одну	2	2
196	данном случае	2	2
197	и когда	5	2
198	самого себя	2	2
199	в каком	6	2
200	и заставляет	2	2
201	если они	2	2
202	себя в	11	2
203	в россии	2	2
204	в данном	6	2
205	том как	4	2
206	одной стороны	3	2
207	к другой	3	2
208	дело не	4	2
209	живой и	2	2
210	бы в	9	2
211	если она	11	2
212	а потом	3	2
213	иное как	12	2
214	не что	12	2
215	к себе	4	2
216	в другом	3	2
217	и даже	12	2
218	или менее	4	2
219	является в	2	2
220	что она	23	2
221	и таким	2	2
222	что именно	4	2
223	в данной	2	2
224	нельзя было	4	2
225	превращается в	3	2
226	д и	11	2
227	этом отношении	2	2
228	не на	2	2
229	в частности	3	2
230	ни было	12	2
231	или ее	3	2
232	ничем не	4	2
233	между собою	12	2
234	его и	4	2
235	ни к	3	2
236	что иное	12	2
237	на вопрос	2	2
238	в чем	10	2
239	с одной	3	2
240	а потому	2	2
241	должна быть	8	2
242	или другой	3	2
243	в свое	2	2
244	а с	3	2
245	в научной	2	2
246	и более	4	2
247	не с	8	2
248	и дает	2	2
249	что о	2	2
250	с тем	8	2
251	не так	2	2
252	и этот	2	2
253	не имеет	2	2
