N	3gram	Tiupa_Disk	RusskieA
1	в том что	18	49
2	состоит в том	3	29
3	в этом случае	3	12
4	о том что	8	10
5	том что в	3	9
6	в том чтобы	2	9
7	в данном случае	6	8
8	подобно тому как	4	8
9	не может быть	5	6
10	во всяком случае	2	4
11	в отличие от	12	4
12	более или менее	2	3
13	по отношению к	13	3
14	с точки зрения	3	3
15	в свою очередь	3	3
16	по своему происхождению	2	3
17	в равной степени	2	2
18	можно сказать что	3	2
19	в этом отношении	4	2
20	в большинстве случаев	2	2
21	как и в	3	2
22	не только в	2	2
23	с одной стороны	12	2
24	пока еще не	3	2
25	с другой стороны	4	2
26	это еще не	2	2
27	ни одно из	2	2
28	в е годы	2	2
