N	2gram	Voloshinov	VrazhdaK
1	не только	10	9
2	и что	6	8
3	в этом	28	8
4	и в	28	8
5	что в	7	7
6	но и	10	7
7	и все	13	7
8	то что	17	7
9	но в	13	6
10	как и	13	6
11	– это	29	6
12	в котором	4	6
13	в нем	7	6
14	и с	10	6
15	о нем	2	6
16	все же	8	6
17	и даже	3	6
18	и не	34	5
19	не было	5	5
20	об этом	7	5
21	то же	12	5
22	в то	7	5
23	же время	6	5
24	у него	4	5
25	между тем	3	5
26	для нас	2	4
27	уже в	3	4
28	во многом	2	4
29	в своих	5	4
30	это не	5	4
31	в виду	4	4
32	все это	12	4
33	при этом	8	4
34	о том	3	4
35	в ней	8	4
36	как бы	19	4
37	так же	4	4
38	что он	12	4
39	в истории	4	4
40	с ним	14	4
41	может быть	28	4
42	человека в	4	3
43	и у	7	3
44	в том	10	3
45	в чем	9	3
46	одним из	3	3
47	его в	11	3
48	далеко не	5	3
49	и уже	2	3
50	и во	2	3
51	в своем	4	3
52	том что	12	3
53	в его	25	3
54	матери и	2	3
55	и о	6	3
56	и его	22	3
57	и как	3	3
58	в этот	4	3
59	он был	3	3
60	он не	10	3
61	о себе	4	3
62	к этому	9	3
63	я не	4	3
64	в конце	2	3
65	с его	9	3
66	никогда не	10	2
67	в одну	2	2
68	и то	3	2
69	в них	3	2
70	уже не	9	2
71	в мире	2	2
72	одна из	4	2
73	и т.п	4	2
74	в него	2	2
75	для него	12	2
76	при помощи	2	2
77	на первый	5	2
78	с точки	15	2
79	мы знаем	11	2
80	а в	8	2
81	человека с	3	2
82	а также	2	2
83	он сам	5	2
84	в этой	7	2
85	его с	2	2
86	в нашей	2	2
87	в своей	14	2
88	чувств и	7	2
89	как раз	6	2
90	но как	2	2
91	в себе	7	2
92	еще не	8	2
93	точки зрения	31	2
94	же как	2	2
95	таким образом	34	2
96	и ее	7	2
97	во время	6	2
98	в период	5	2
99	в момент	2	2
100	его и	2	2
101	отношения к	2	2
102	на место	3	2
103	в свою	6	2
104	по мнению	8	2
105	на это	3	2
106	их в	3	2
107	о которой	3	2
108	рядом с	2	2
109	в эту	2	2
110	не может	30	2
111	и образы	4	2
112	из них	7	2
113	ответ на	3	2
114	не менее	6	2
115	но это	4	2
116	к себе	3	2
117	отнюдь не	5	2
118	а с	2	2
119	на основе	3	2
120	вместе с	5	2
121	отношение к	7	2
