N	2gram	Nazirov_Tr	Dialekti
1	и не	7	120
2	и в	18	77
3	может быть	7	71
4	не только	8	66
5	то что	4	59
6	ничего не	2	54
7	не может	5	53
8	и даже	4	47
9	что это	5	46
10	потому что	2	45
11	не просто	2	44
12	как бы	7	43
13	ни в	2	42
14	и что	4	42
15	не имеет	2	41
16	в том	2	40
17	в этом	9	39
18	то же	5	39
19	в себе	4	38
20	что она	2	38
21	том что	4	37
22	что он	6	37
23	прежде всего	4	37
24	это не	5	36
25	так что	2	36
26	что в	4	34
27	в нем	4	34
28	и все	4	33
29	но и	4	32
30	все это	4	31
31	и как	3	30
32	отнюдь не	3	30
33	так и	5	29
34	как и	5	28
35	никогда не	2	27
36	не в	2	26
37	и то	2	25
38	но это	4	24
39	в то	5	23
40	я не	4	22
41	личности и	2	21
42	что все	2	20
43	что и	2	20
44	о том	2	20
45	уже не	2	20
46	и с	7	20
47	в таком	2	20
48	как же	2	19
49	в своем	3	19
50	как это	3	19
51	и это	2	19
52	в самом	2	19
53	и его	6	19
54	же время	6	18
55	должно быть	3	17
56	к нему	3	16
57	об этом	4	16
58	все же	5	15
59	так же	4	15
60	в виде	2	15
61	несмотря на	5	15
62	жизнь и	3	14
63	и ее	2	14
64	с ним	3	14
65	но в	6	13
66	говорит о	2	13
67	он не	2	13
68	с ее	3	13
69	вопрос о	2	12
70	еще не	4	12
71	все эти	3	12
72	перед нами	2	12
73	не могут	2	12
74	от всего	2	11
75	ничем не	2	11
76	в данном	2	11
77	что я	4	11
78	в душе	2	10
79	к тому	2	10
80	в ее	2	10
81	в его	3	10
82	в частности	2	10
83	то и	2	10
84	как будто	3	10
85	только о	2	10
86	в одном	2	9
87	при этом	3	9
88	и он	3	9
89	и на	7	9
90	в дальнейшем	5	8
91	в этой	4	8
92	но все	2	8
93	один из	3	8
94	бы и	2	8
95	тем самым	3	7
96	в конце	3	7
97	что этот	2	7
98	тем что	2	7
99	она должна	2	7
100	он всегда	4	7
101	точно так	2	7
102	и я	2	7
103	с его	2	7
104	как в	3	7
105	в мире	3	7
106	даже если	2	7
107	он сам	7	7
108	отношение к	2	6
109	с тем	2	6
110	никто не	3	6
111	одна из	2	6
112	тут же	2	6
113	а я	5	6
114	но они	2	6
115	его в	2	6
116	а что	2	6
117	о чем	3	6
118	для него	3	6
119	мог бы	3	6
120	уже в	3	6
121	состоит из	2	5
122	только к	2	5
123	раз и	2	5
124	в это	2	5
125	что с	3	5
126	он и	2	5
127	данном случае	2	4
128	а как	2	4
129	это уже	2	4
130	из самых	2	4
131	и личность	2	4
132	но эта	2	4
133	что эти	2	4
134	у него	6	4
135	и здесь	2	4
136	к жизни	5	4
137	друг друга	2	4
138	отличие от	2	3
139	отца и	2	3
140	не так	2	3
141	в первом	2	3
142	говорит что	2	3
143	как у	2	3
144	что же?	2	3
145	не был	2	3
146	что вы	3	3
147	у достоевского	5	3
148	не мог	2	3
149	в силах	2	2
150	с первого	2	2
151	еще раз	2	2
152	знает что	2	2
153	в образе	6	2
154	и до	2	2
155	на меня	2	2
156	он был	2	2
157	я буду	2	2
158	еще в	2	2
159	в глаза	2	2
160	то есть	3	2
161	времени в	2	2
162	было в	2	2
163	нет в	2	2
164	но при	2	2
165	в целом	4	2
166	достоевского в	3	2
167	ее к	2	2
168	и сам	3	2
169	чем он	2	2
