N	3gram	Propp_Isto	slovoVRo
1	не может быть	5	19
2	с одной стороны	11	11
3	и т д	25	10
4	более или менее	3	9
5	в этом случае	4	9
6	во всяком случае	3	8
7	в зависимости от	3	8
8	так и в	3	6
9	с другой стороны	17	6
10	но все же	3	6
11	в том что	7	5
12	не только в	9	5
13	по отношению к	3	5
14	до сих пор	4	4
15	как мы видели	3	3
16	как и в	3	3
17	в данном случае	7	3
18	мы не можем	2	2
19	во всех этих	6	2
20	о том что	9	2
21	можно было бы	3	2
22	даже там где	2	2
23	в то время	4	2
24	но и в	4	2
25	этой точки зрения	3	2
26	то время как	4	2
27	с этой точки	3	2
28	тем не менее	4	2
