N	2gram	Propp_Isto	FransuaR
1	и в	43	367
2	в этом	25	112
3	и не	16	101
4	таким образом	15	100
5	и его	10	99
6	в его	7	98
7	прежде всего	3	92
8	не только	28	87
9	мы уже	9	85
10	но и	24	84
11	как бы	5	82
12	все эти	8	79
13	вовсе не	3	77
14	как и	9	76
15	в нем	11	75
16	но в	15	75
17	и др	4	72
18	и на	7	72
19	в том	13	71
20	как мы	11	71
21	то же	11	66
22	и все	4	66
23	так и	6	65
24	в этой	7	65
25	в них	6	65
26	и с	10	64
27	во время	8	63
28	в то	2	63
29	все это	4	62
30	что в	29	52
31	в своем	2	51
32	только в	8	48
33	так как	13	46
34	том что	12	45
35	здесь в	2	41
36	то что	20	41
37	жизни и	2	40
38	у него	4	40
39	точки зрения	3	37
40	в ней	3	37
41	может быть	22	35
42	мы видим	15	35
43	о том	4	35
44	сказать что	5	34
45	и даже	4	34
46	в себе	2	34
47	он не	11	32
48	мы видели	18	32
49	в своей	4	31
50	так же	16	30
51	никогда не	9	30
52	и потому	2	30
53	той же	3	30
54	один из	7	30
55	потому что	8	30
56	но он	8	30
57	в этих	18	29
58	не может	8	29
59	еще не	15	29
60	его в	7	29
61	не в	9	29
62	при этом	4	29
63	в одном	9	29
64	в особенности	3	29
65	связи с	9	29
66	что он	17	29
67	из них	7	28
68	всех этих	3	28
69	здесь и	2	28
70	и к	4	28
71	роль в	2	27
72	сих пор	7	27
73	и другие	6	27
74	до сих	7	27
75	и их	4	27
76	все же	13	27
77	средние века	2	26
78	в средние	2	26
79	на самом	2	25
80	но это	5	25
81	отношение к	4	24
82	и от	3	24
83	в частности	6	24
84	например в	3	24
85	но не	10	24
86	в большинстве	2	24
87	как в	6	24
88	и у	6	24
89	он и	4	24
90	и для	3	23
91	это не	10	23
92	и здесь	8	23
93	есть и	7	23
94	к нему	12	23
95	большинстве случаев	3	23
96	и о	2	22
97	связь с	12	22
98	даже в	4	22
99	а в	13	22
100	что и	17	22
101	там где	8	22
102	тем что	8	22
103	вместе с	12	22
104	не было	2	22
105	в себя	3	21
106	в качестве	4	21
107	что это	4	21
108	ни в	2	21
109	одним из	4	21
110	и как	6	21
111	в образе	2	20
112	а также	5	20
113	в виду	2	20
114	и это	5	20
115	в связи	5	20
116	в дальнейшем	8	19
117	их в	6	19
118	во всем	3	19
119	хотя и	4	19
120	к этому	10	19
121	было бы	5	19
122	далеко не	3	19
123	с другой	10	19
124	с ее	2	19
125	это в	2	18
126	на этом	5	18
127	здесь не	6	18
128	превращается в	10	18
129	но они	2	18
130	это и	4	18
131	перед нами	4	18
132	одна из	2	18
133	связан с	5	18
134	связанных с	4	17
135	но все	5	17
136	человеческого тела	2	17
137	того что	8	17
138	можно было	3	17
139	связана с	4	17
140	на его	5	17
141	и вот	3	17
142	еще более	3	17
143	такой же	3	17
144	конечно не	3	17
145	а не	13	17
146	между тем	2	16
147	тот же	2	16
148	ничего не	12	16
149	в свете	6	16
150	в начале	2	16
151	в другом	11	16
152	они не	4	16
153	с одной	2	16
154	одно из	2	15
155	никто не	2	15
156	мы еще	3	15
157	особенно в	2	15
158	а затем	6	15
159	не мог	2	15
160	из этих	5	15
161	мы не	3	14
162	все что	4	14
163	по существу	3	14
164	в данном	7	14
165	и он	2	14
166	с миром	3	14
167	и по	6	14
168	в чем	4	14
169	в котором	5	14
170	земли и	2	14
171	образом в	2	14
172	на них	2	14
173	так в	8	13
174	на этой	2	13
175	в других	6	13
176	или в	14	13
177	с этим	13	13
178	в жизни	3	13
179	и есть	3	13
180	не на	2	13
181	во все	4	13
182	его к	5	13
183	в одной	4	13
184	на все	2	13
185	только на	2	13
186	они и	3	13
187	одной стороны	2	13
188	не знает	2	13
189	у нас	7	12
190	право на	2	12
191	в пределах	5	12
192	и ее	3	12
193	те же	2	12
194	главным образом	3	12
195	характерно для	2	12
196	он в	3	12
197	но здесь	2	12
198	можно сказать	3	12
199	о нем	2	12
200	другой стороны	10	12
201	об этом	8	12
202	но этот	3	12
203	так например	3	11
204	это уже	3	11
205	все время	2	11
206	и более	3	11
207	она была	2	11
208	того как	3	11
209	уже не	11	11
210	и что	6	11
211	другими словами	2	11
212	в течение	6	11
213	с ними	5	11
214	что они	14	11
215	очень часто	4	11
216	и так	3	11
217	данном случае	6	10
218	мы здесь	7	10
219	и они	4	10
220	образом и	2	10
221	в доме	14	10
222	на котором	2	10
223	на земле	2	10
224	там же	2	10
225	в таких	3	10
226	к тому	9	10
227	ту же	2	10
228	целый ряд	3	10
229	во второй	2	10
230	в главе	2	10
231	по отношению	2	10
232	к которому	6	10
233	где они	2	10
234	в целом	4	10
235	да и	2	10
236	не просто	4	10
237	что не	3	9
238	на землю	2	9
239	эти формы	2	9
240	именно на	2	9
241	относится к	3	9
242	но как	2	9
243	вплоть до	2	9
244	как это	5	9
245	связано с	4	9
246	легенды о	2	9
247	и то	4	9
248	отношению к	2	9
249	видим что	7	9
250	для нас	6	9
251	в тех	3	9
252	как к	2	9
253	что на	6	9
254	не имеет	3	9
255	в которых	7	9
256	же в	6	9
257	их с	2	9
258	но конечно	2	9
259	мы можем	10	9
260	к жизни	2	9
261	от него	3	8
262	с этой	3	8
263	так что	8	8
264	этой системы	2	8
265	здесь мы	6	8
266	с тем	3	8
267	под влиянием	2	8
268	если бы	7	8
269	после того	5	8
270	но эта	2	8
271	в него	3	8
272	мы увидим	6	8
273	нельзя было	2	8
274	и она	5	8
275	все те	2	8
276	одном из	3	8
277	и при	2	8
278	смерти в	3	8
279	сам он	2	8
280	видели что	8	8
281	превращаются в	2	8
282	не менее	6	8
283	дело не	3	8
284	в этот	6	8
285	тому же	4	8
286	человека с	2	8
287	они в	2	8
288	то время	2	8
289	не будем	6	7
290	связанное с	2	7
291	а как	2	7
292	как нечто	3	7
293	в одну	3	7
294	себе и	2	7
295	что у	4	7
296	в свою	5	7
297	тому как	3	7
298	есть только	4	7
299	здесь есть	2	7
300	и за	3	7
301	его не	3	7
302	только с	2	7
303	на том	3	7
304	одного из	2	7
305	по этому	2	7
306	в виде	2	7
307	и всей	2	7
308	во всяком	2	7
309	себя в	2	7
310	где он	2	7
311	вот как	2	7
312	здесь все	2	7
313	по всему	2	7
314	подобно тому	3	7
315	в состоянии	2	7
316	играют в	2	7
317	на него	4	7
318	и если	3	7
319	от них	5	7
320	эта связь	4	7
321	к себе	3	7
322	а на	5	7
323	здесь на	3	7
324	и очень	2	7
325	и там	6	7
326	нет ничего	3	7
327	представление о	3	7
