N	2gram	Berdyaev_V	Vladivir
1	и в	16	116
2	то что	9	71
3	и не	20	67
4	не только	2	65
5	в этом	4	53
6	в том	3	52
7	том что	2	51
8	что в	3	48
9	но и	5	47
10	в конце	3	41
11	в его	4	40
12	потому что	4	33
13	что он	4	32
14	только в	2	30
15	никогда не	3	29
16	для него	2	29
17	а в	2	27
18	не было	3	26
19	но в	3	25
20	и то	2	25
21	а к	2	25
22	так как	9	22
23	ни в	3	22
24	в своей	3	21
25	прежде всего	2	20
26	для нас	2	20
27	и что	3	20
28	и потому	7	19
29	так и	4	19
30	не в	3	18
31	как и	4	18
32	хотя и	5	18
33	с его	3	18
34	что и	3	17
35	то это	3	17
36	а не	7	17
37	уже не	2	16
38	того что	5	16
39	к тому	3	16
40	и все	4	16
41	в котором	4	16
42	не есть	6	16
43	но это	3	15
44	все эти	3	14
45	с тем	2	13
46	да и	2	13
47	жизни и	3	13
48	в нем	4	12
49	во всяком	2	12
50	и это	2	12
51	если не	3	12
52	все это	5	11
53	хотя бы	3	11
54	в ней	4	10
55	что все	4	10
56	в истории	8	10
57	можно было	2	10
58	еще не	8	10
59	но не	2	10
60	с ним	2	10
61	это не	2	9
62	а с	2	9
63	и сам	2	9
64	не будет	2	9
65	что мы	4	9
66	это мы	2	8
67	в чем	3	8
68	как бы	5	8
69	тот же	3	8
70	должно быть	3	8
71	тем что	2	8
72	и я	4	8
73	в этих	3	8
74	и для	3	8
75	конечно не	2	8
76	не имеет	3	7
77	по этому	3	7
78	того чтобы	2	7
79	бы и	3	7
80	и мы	3	7
81	и есть	4	7
82	в них	3	7
83	мы и	2	7
84	на себя	5	6
85	уже на	2	6
86	тому что	3	6
87	в боге	5	6
88	мы не	2	6
89	не с	2	6
90	в жизни	3	6
91	и теперь	2	6
92	но мы	2	5
93	вера в	2	5
94	и за	2	5
95	один из	2	5
96	что они	7	5
97	ее в	2	5
98	нет ничего	3	5
99	во всех	3	5
100	что я	3	5
101	не к	2	5
102	к богу	8	4
103	не могут	2	4
104	человека и	6	4
105	в духе	2	4
106	бога и	5	4
107	не могли	2	4
108	и т	2	4
109	и против	3	4
110	не имел	2	4
111	и во	2	4
112	раз навсегда	2	4
113	на этих	2	4
114	не так	2	4
115	которые не	2	4
116	т д	2	4
117	лишь в	3	4
118	нет и	2	4
119	их в	3	4
120	вопросе о	2	4
121	что их	2	3
122	от него	2	3
123	и никогда	2	3
124	к бытию	3	3
125	с богом	4	3
126	его не	2	3
127	его к	2	3
128	что не	4	3
129	выше всего	2	3
130	для них	2	3
131	этих трех	3	3
132	когда в	2	3
133	выше всякого	2	3
134	до того	2	3
135	самого себя	2	3
136	в абсолютном	3	3
137	но теперь	2	3
138	на земле	7	3
139	человека как	2	3
140	во имя	32	3
141	что есть	5	3
142	в мире	5	3
143	мир и	2	3
144	все что	4	3
145	оно не	3	3
146	добра и	4	2
147	жизни все	2	2
148	авторитетом и	2	2
149	тот кто	2	2
150	и любви	2	2
151	одна из	2	2
152	о высшем	2	2
153	во мне	4	2
154	в существе	2	2
155	к чему	3	2
156	это все	2	2
157	и последний	2	2
158	на том	2	2
159	людей в	3	2
160	в вопросе	3	2
161	что истина	2	2
162	первый раз	3	2
163	а есть	2	2
164	все равно	2	2
165	должна быть	3	2
166	освобождения от	2	2
167	духа и	2	2
168	истории и	2	2
169	любовь к	3	2
170	от этого	3	2
171	о свободе	2	2
172	за ним	3	2
173	как не	3	2
174	в первый	3	2
175	его и	2	2
176	я говорю	2	2
177	за то	3	2
178	не хотел	2	2
179	является в	2	2
180	об абсолютном	2	2
181	есть уже	2	2
182	личности и	3	2
183	тем кто	2	2
184	что во	3	2
185	говорить о	4	2
186	в себя	2	2
187	в социализме	3	2
