N	2gram	Bakhtin_Pr	Freidism
1	и не	42	34
2	таким образом	10	34
3	точки зрения	8	31
4	не может	27	30
5	и пр	2	29
6	может быть	26	28
7	и в	38	28
8	в этом	15	28
9	прежде всего	13	26
10	в его	43	25
11	и его	16	22
12	мы можем	6	20
13	с помощью	7	20
14	как бы	22	19
15	как мы	7	18
16	то что	8	17
17	вовсе не	2	16
18	точка зрения	3	15
19	с точки	6	15
20	все эти	5	15
21	самом деле	6	14
22	так и	5	14
23	в своей	7	14
24	с ним	5	14
25	во всех	11	13
26	и все	3	13
27	но в	4	13
28	как и	7	13
29	по отношению	21	13
30	и потому	4	12
31	том что	3	12
32	то же	5	12
33	что он	2	12
34	ни в	11	12
35	в самом	7	12
36	и наконец	6	12
37	все это	3	12
38	сказать что	4	11
39	его в	9	11
40	отношению к	19	11
41	только в	13	11
42	никогда не	5	10
43	и с	17	10
44	за пределы	12	10
45	не только	9	10
46	но и	9	10
47	не в	7	10
48	он не	3	10
49	в том	8	10
50	все что	3	10
51	конечно не	5	10
52	мы должны	2	9
53	могут быть	5	9
54	к этому	2	9
55	культурного творчества	3	9
56	совершенно не	7	9
57	и др	8	9
58	к нему	10	9
59	в чем	2	9
60	и на	3	9
61	а не	5	9
62	с его	2	9
63	все же	6	8
64	было бы	8	8
65	еще не	7	8
66	с другими	3	8
67	а в	6	8
68	в ней	4	8
69	на этом	2	8
70	организма и	2	8
71	при этом	5	8
72	не могут	2	7
73	в то	4	7
74	в себе	4	7
75	что в	7	7
76	и ее	2	7
77	хотя бы	4	7
78	и для	11	7
79	отношение к	10	7
80	не является	3	7
81	того что	2	7
82	и у	2	7
83	но не	12	7
84	что все	2	7
85	более того	4	7
86	связь с	3	7
87	в нем	15	7
88	и к	3	7
89	и прежде	5	7
90	на самом	4	6
91	в высшей	5	6
92	в психике	6	6
93	мы имеем	2	6
94	не менее	4	6
95	для того	2	6
96	в таком	3	6
97	и только	4	6
98	и о	5	6
99	в пределах	6	6
100	в корне	2	6
101	она не	2	6
102	не можем	2	6
103	можно сказать	2	6
104	в свою	2	6
105	большинстве случаев	5	6
106	здесь в	2	6
107	и что	2	6
108	высшей степени	5	6
109	же время	3	6
110	в основе	5	6
111	по поводу	2	5
112	что это	2	5
113	ничего не	6	5
114	можем сказать	2	5
115	другими словами	2	5
116	со всеми	3	5
117	на первый	2	5
118	и те	2	5
119	между ними	4	5
120	в этих	2	5
121	чем не	2	5
122	как это	2	5
123	не знает	3	5
124	конечно и	4	5
125	что и	2	5
126	в более	4	5
127	далеко не	5	5
128	в своих	2	5
129	в большинстве	5	5
130	это не	5	5
131	отнюдь не	19	5
132	того чтобы	2	5
133	не было	2	5
134	в ее	4	5
135	с ними	4	5
136	говорить о	3	5
137	в себя	2	5
138	данном случае	4	4
139	человека в	2	4
140	одна из	2	4
141	и вообще	2	4
142	в таких	2	4
143	дает нам	2	4
144	подхода к	2	4
145	но это	3	4
146	в области	11	4
147	в другом	2	4
148	тем не	3	4
149	на него	3	4
150	этом отношении	2	4
151	если бы	3	4
152	мы увидим	3	4
153	в виду	4	4
154	не всегда	6	4
155	этой области	2	4
156	может стать	3	4
157	как в	4	4
158	в своем	5	4
159	едва ли	3	4
160	так называемый	2	4
161	а только	2	4
162	в котором	2	4
163	что оно	2	4
164	смысле слова	2	4
165	в целом	3	4
166	нет и	3	4
167	отметить что	7	4
168	должны быть	4	4
169	только как	6	4
170	себя и	3	4
171	то ни	3	4
172	войти в	2	4
173	в истории	2	4
174	всех своих	2	4
175	первый план	2	4
176	в данном	4	4
177	слова и	3	4
178	я не	2	4
179	не дает	2	4
180	и от	3	3
181	все то	3	3
182	независимо от	13	3
183	нуждается в	2	3
184	не будем	3	3
185	конечном счете	4	3
186	к себе	2	3
187	где оно	2	3
188	и даже	3	3
189	и как	8	3
190	и содержание	3	3
191	единство и	2	3
192	а как	3	3
193	не остается	2	3
194	и при	2	3
195	у нас	2	3
196	или как	3	3
197	в какой	2	3
198	не больше	3	3
199	в искусстве	12	3
200	узком смысле	2	3
201	мы в	3	3
202	от всех	4	3
203	о том	4	3
204	они не	3	3
205	оно может	2	3
206	на почве	3	3
207	центр тяжести	2	3
208	в конечном	4	3
209	оно не	3	3
210	к его	2	3
211	имеет дело	9	3
212	приводит к	3	3
213	и становится	7	3
214	и этим	6	3
215	в них	5	3
216	формы и	5	3
217	себя в	2	3
218	и должны	2	3
219	раз и	2	3
220	мир в	2	3
221	сказать и	3	3
222	и есть	2	3
223	природы и	3	3
224	есть только	2	3
225	случае не	2	3
226	переходим к	2	3
227	в нашем	4	3
228	между тем	7	3
229	представляется нам	2	3
230	на основе	6	3
231	бы то	3	3
232	да и	3	2
233	принципиально не	4	2
234	к личности	2	2
235	о которых	2	2
236	или иной	2	2
237	дело и	5	2
238	место и	2	2
239	содержание и	2	2
240	не входит	10	2
241	для нее	8	2
242	не нуждается	2	2
243	дело в	2	2
244	должно быть	5	2
245	из важнейших	3	2
246	всех сторон	2	2
247	его целом	5	2
248	отличается от	2	2
249	в отличие	5	2
250	применении к	3	2
251	как к	2	2
252	должен быть	2	2
253	и тем	3	2
254	все они	5	2
255	он должен	2	2
256	в некоторых	2	2
257	в их	10	2
258	относится и	2	2
259	человека как	2	2
260	ни было	3	2
261	к своему	2	2
262	и другие	2	2
263	можно сделать	2	2
264	нами выше	2	2
265	этой науки	2	2
266	отличие от	5	2
267	его не	2	2
268	с одной	3	2
269	должна быть	4	2
270	для понимания	2	2
271	в мире	3	2
272	в него	2	2
273	не имеет	9	2
274	относится к	4	2
275	значение для	3	2
276	вообще не	7	2
277	также и	3	2
278	не есть	6	2
279	с другой	7	2
280	только его	3	2
281	предмета и	2	2
282	этих явлений	2	2
283	только при	2	2
284	входит в	8	2
285	одной стороны	3	2
286	в применении	3	2
287	этом смысле	3	2
288	цели и	2	2
289	художественной формы	9	2
290	из которых	2	2
291	но как	2	2
292	на них	3	2
293	которых мы	4	2
294	и значение	2	2
295	то или	2	2
296	там где	6	2
297	и во	2	2
298	связаны с	2	2
299	художественное творчество	7	2
300	не следует	2	2
301	же самое	2	2
302	отношения к	6	2
303	как его	3	2
304	в дальнейшем	3	2
305	не к	6	2
306	рядом с	5	2
307	или иное	2	2
308	в нашей	2	2
309	дело только	3	2
310	ясно что	3	2
311	ли мы	3	2
