N	2gram	Tiupa_Anal	Poddanst
1	не только	30	17
2	и в	30	14
3	и не	33	12
4	в области	4	11
5	в этом	31	10
6	в отношении	2	10
7	но в	11	9
8	то же	12	9
9	в том	36	9
10	в качестве	38	9
11	хотя бы	4	8
12	в пределах	11	8
13	в то	10	7
14	только в	8	7
15	же время	7	7
16	быть может	2	6
17	но и	29	6
18	было бы	4	6
19	с другой	7	5
20	не в	17	5
21	и о	3	5
22	может быть	33	5
23	по себе	6	4
24	что в	7	4
25	если бы	6	4
26	и потому	2	4
27	в своем	2	4
28	том что	21	4
29	а также	8	4
30	мы должны	2	4
31	в котором	5	4
32	и к	5	4
33	как бы	15	4
34	и если	2	4
35	то что	11	4
36	не может	26	4
37	а в	11	4
38	что мы	3	3
39	и как	6	3
40	но не	13	3
41	тем самым	9	3
42	это не	7	3
43	с точки	6	3
44	сводится к	6	3
45	сами по	3	3
46	столь же	7	3
47	я и	8	3
48	для того	4	3
49	в себе	17	3
50	точки зрения	10	3
51	потому что	3	3
52	одной стороны	6	3
53	в нем	3	3
54	между тем	7	3
55	вслед за	3	3
56	она есть	2	3
57	могут быть	12	3
58	прежде всего	8	3
59	и т	3	3
60	хотя и	4	3
61	тот же	2	3
62	с одной	7	3
63	с ними	2	3
64	заключается в	2	3
65	должно быть	2	2
66	не о	3	2
67	да и	2	2
68	что из	2	2
69	в сочетании	7	2
70	в мире	14	2
71	если в	3	2
72	есть не	9	2
73	отношения к	4	2
74	не к	3	2
75	никак не	2	2
76	в эту	3	2
77	творчества и	2	2
78	более чем	4	2
79	и тем	4	2
80	сколько бы	3	2
81	в его	15	2
82	м и	2	2
83	в ряду	2	2
84	не менее	5	2
85	говорить о	3	2
86	бы ни	2	2
87	со стороны	5	2
88	культуры в	2	2
89	именно в	6	2
90	в начале	3	2
91	тем более	2	2
92	все это	2	2
93	но к	3	2
94	в частности	32	2
95	том числе	3	2
96	а не	25	2
97	мысль о	2	2
98	и есть	3	2
99	и с	2	2
100	может и	2	2
101	полной мере	3	2
102	может ли	2	2
103	во всех	5	2
104	в ее	2	2
105	но о	3	2
106	в полной	3	2
107	как раз	5	2
108	есть в	4	2
109	того что	5	2
110	думать что	2	2
111	в силу	4	2
112	из них	2	2
113	в которую	2	2
114	не столько	5	2
115	отнюдь не	22	2
