N	3gram	Propp_Morf	formyVre
1	в связи с	9	15
2	с точки зрения	6	15
3	для того чтобы	3	12
4	в большинстве случаев	3	8
5	в этом отношении	2	7
6	и т д	60	7
7	не может быть	9	7
8	с одной стороны	2	6
9	а также и	5	6
10	в том что	4	5
11	мы имеем в	2	5
12	как и в	3	5
13	в то время	3	5
14	то время как	3	4
15	может быть и	2	4
16	в этом случае	10	4
17	и в других	2	4
18	связи с этим	5	4
19	друг на друга	2	4
20	с другой стороны	5	4
21	но все же	4	4
22	во всяком случае	2	4
23	по отношению к	7	4
24	друг к другу	2	3
25	о том как	2	3
26	о том что	3	3
27	к вопросу о	2	3
28	друг за другом	2	3
29	как мы увидим	5	3
30	наряду с этим	5	3
31	к тому что	4	2
32	под углом зрения	2	2
33	в данном случае	2	2
34	а вовсе не	2	2
35	в тех же	4	2
