N	2gram	Tiupa_Hudo	PoTuStor
1	может быть	12	17
2	и в	34	16
3	в этом	22	9
4	и только	2	9
5	прежде всего	12	9
6	и с	10	8
7	точки зрения	7	8
8	не может	10	8
9	и его	8	8
10	сказать что	3	7
11	не только	22	7
12	с его	9	7
13	и это	7	6
14	с точки	5	6
15	самом деле	6	6
16	я и	7	6
17	и к	6	6
18	для него	15	6
19	при этом	21	6
20	ни в	5	5
21	все эти	4	5
22	как бы	11	5
23	только для	4	5
24	нуждается в	2	5
25	еще не	10	5
26	в него	2	5
27	отношение к	3	5
28	как мы	5	4
29	и на	6	4
30	все это	2	4
31	на самом	2	4
32	его в	5	4
33	в его	17	4
34	и ее	3	4
35	но и	13	4
36	и не	15	4
37	и все	10	4
38	но в	6	4
39	в этой	11	4
40	но мы	2	4
41	с ее	7	4
42	так как	2	4
43	все что	4	4
44	только в	8	4
45	в нем	5	4
46	хотя бы	2	4
47	с ними	3	4
48	можно сказать	9	4
49	так и	19	4
50	мысли и	2	4
51	отнюдь не	4	4
52	и даже	4	4
53	едва ли	6	3
54	и она	2	3
55	матери и	2	3
56	что в	8	3
57	жизни и	10	3
58	и потому	3	3
59	тех же	2	3
60	а в	11	3
61	в том	24	3
62	их в	2	3
63	с другими	2	3
64	между ними	2	3
65	до сих	3	3
66	только на	6	3
67	в этих	7	3
68	чем не	2	3
69	в конечном	5	3
70	как это	8	3
71	то что	13	3
72	во всех	2	3
73	сих пор	3	3
74	вместе с	2	3
75	в одном	3	3
76	к себе	8	3
77	на этом	5	3
78	мы знаем	4	3
79	том что	31	3
80	в основе	3	3
81	один из	6	2
82	никогда не	8	2
83	для нас	4	2
84	по своему	3	2
85	есть и	3	2
86	с нею	2	2
87	на них	2	2
88	в них	3	2
89	в жизни	9	2
90	же как	4	2
91	и для	5	2
92	что не	4	2
93	что это	2	2
94	и по	3	2
95	что и	3	2
96	не менее	9	2
97	во сне	3	2
98	было бы	8	2
99	сводится к	7	2
100	о том	21	2
101	можно назвать	2	2
102	то же	14	2
103	они не	2	2
104	с этим	3	2
105	как и	16	2
106	что он	14	2
107	так же	3	2
108	говорить о	4	2
109	но ведь	2	2
110	в своей	15	2
111	мы не	2	2
112	себя и	4	2
113	из этих	3	2
114	но как	3	2
115	в самом	7	2
116	знаем что	2	2
117	в начале	3	2
118	с этой	3	2
119	в частности	10	2
120	что можно	2	2
121	он не	8	2
122	в голову	3	2
123	у него	13	2
124	своей жизни	6	2
125	при всей	3	2
126	и о	8	2
127	в душе	6	2
128	путь к	2	2
129	что на	4	2
130	конечном счете	4	2
131	нет и	2	2
132	поэтому и	2	2
133	не знает	2	2
134	в пределах	4	2
135	и т.п	2	2
136	и так	3	2
137	быть может	7	2
138	мы уже	7	2
139	на основе	2	2
140	с ним	6	2
141	но это	2	2
