N	2gram	Ircho_Kome	Tragedij
1	и в	37	18
2	в этом	18	9
3	не только	13	8
4	и не	28	7
5	и на	6	7
6	как бы	7	7
7	и с	5	7
8	может быть	14	7
9	же время	12	6
10	что он	15	6
11	но в	7	6
12	и его	10	6
13	в образе	5	6
14	у него	10	6
15	несмотря на	7	5
16	все же	9	5
17	это не	3	5
18	то же	14	5
19	как и	10	5
20	в дальнейшем	5	5
21	так и	4	5
22	не может	9	5
23	в то	14	5
24	что в	11	4
25	еще не	10	4
26	в целом	4	4
27	но и	18	4
28	прежде всего	7	4
29	об этом	12	4
30	том что	22	4
31	в этой	7	4
32	и что	8	4
33	так же	8	4
34	и все	6	4
35	все это	7	4
36	в нем	8	4
37	что я	5	4
38	то что	5	4
39	я не	4	4
40	и даже	6	4
41	в себе	4	4
42	один из	6	3
43	и как	3	3
44	в мире	2	3
45	уже в	3	3
46	iii в	7	3
47	к нему	8	3
48	в своем	9	3
49	при этом	11	3
50	в его	12	3
51	что с	4	3
52	и он	5	3
53	отнюдь не	5	3
54	о чем	11	3
55	и сам	11	3
56	как будто	3	3
57	никто не	2	3
58	как в	4	3
59	как это	5	3
60	своего отца	2	3
61	что вы	2	3
62	в конце	14	3
63	с ним	10	3
64	никогда не	5	2
65	в самом	17	2
66	но все	5	2
67	до конца	4	2
68	с тем	6	2
69	даже если	2	2
70	друг друга	7	2
71	тем что	12	2
72	она должна	2	2
73	вопрос о	2	2
74	в одном	3	2
75	его в	9	2
76	не имеет	6	2
77	ничего не	6	2
78	отца и	4	2
79	не могут	2	2
80	как же	2	2
81	в ее	3	2
82	к тому	11	2
83	а как	2	2
84	говорит о	2	2
85	о том	21	2
86	о его	4	2
87	гораздо важнее	2	2
88	что и	12	2
89	ни в	14	2
90	тут же	8	2
91	не в	7	2
92	столь же	5	2
93	и здесь	11	2
94	потому что	19	2
95	ненависти к	5	2
96	было в	2	2
97	и я	3	2
98	в известной	3	2
99	в частности	4	2
100	в таком	2	2
101	так что	7	2
102	отцом и	3	2
103	он не	11	2
104	и ее	3	2
105	ничем не	4	2
106	под влиянием	2	2
107	в первом	2	2
108	из самых	2	2
109	что она	10	2
110	по мнению	2	2
111	и это	4	2
112	его дочь	3	2
113	знает что	2	2
114	не так	4	2
115	отличие от	5	2
116	в том	24	2
117	в глаза	3	2
118	и до	2	2
119	дома и	3	2
120	в глазах	10	2
121	я ведь	2	2
122	но при	2	2
123	который в	3	2
124	не случайно	3	2
125	в отличие	3	2
126	не был	2	2
127	не мог	2	2
128	его за	3	2
129	он и	5	2
130	с его	6	2
131	он был	6	2
132	в это	2	2
133	времени в	2	2
134	отношение к	7	2
