N	3gram	Vinokur_Vv	Myslijsy
1	в том что	15	47
2	по отношению к	4	26
3	не может быть	10	19
4	тем не менее	9	18
5	по крайней мере	4	17
6	и т д	39	15
7	сам по себе	2	14
8	в свою очередь	2	14
9	само по себе	4	14
10	то же время	6	13
11	в то же	6	13
12	а между тем	2	13
13	не в том	2	13
14	во всяком случае	5	12
15	с другой стороны	5	12
16	только в том	2	12
17	до сих пор	7	12
18	смысле этого слова	2	12
19	и в этом	4	12
20	и т п	5	11
21	подобно тому как	2	11
22	для того чтобы	22	11
23	с одной стороны	4	10
24	одного и того	2	9
25	о том что	13	9
26	и того же	2	9
27	не могут быть	2	9
28	с тем что	3	8
29	вместе с тем	3	8
30	в этом случае	6	8
31	и то же	2	7
32	можно сказать что	3	7
33	одной и той	2	7
34	одно и то	2	7
35	и той же	2	7
36	не только в	4	7
37	с точки зрения	4	7
38	может быть названо	4	7
39	и в том	4	7
40	сама по себе	3	7
41	в этом смысле	10	7
42	то же самое	3	6
43	после того как	2	6
44	языка и его	2	5
45	и то что	3	5
46	вопрос о том	5	4
47	в данном случае	4	4
48	могут быть названы	2	4
49	обратить внимание на	2	4
50	и в самом	3	4
51	не что иное	5	4
52	с этой точки	2	4
53	в этом отношении	4	4
54	в собственном смысле	3	4
55	в том виде	3	4
56	на этот вопрос	5	4
57	что иное как	5	4
58	дело в том	3	4
59	в том чтобы	5	4
60	только после того	2	3
61	что же касается	2	3
62	в первом случае	2	3
63	этой точки зрения	2	3
64	в применении к	6	3
65	можно было бы	4	3
66	не говоря уже	2	3
67	с течением времени	7	3
68	одной стороны и	3	3
69	а так как	2	3
70	точно так же	2	3
71	потому что он	2	3
72	хотя бы и	2	3
73	в связи с	2	3
74	заключается в том	3	3
75	так или иначе	4	3
76	но вместе с	2	2
77	чтобы понять что	3	2
78	и потому что	2	2
79	в свое время	3	2
80	как мы видели	3	2
81	в большей части	2	2
82	того что уже	2	2
83	состоит в том	2	2
84	имеет дело с	2	2
85	в этих случаях	2	2
86	но все же	4	2
87	что в нем	2	2
88	всяком случае не	2	2
89	же самое что	2	2
