N	2gram	Berdyaev_M	RusskieA
1	и в	61	79
2	в том	9	64
3	том что	7	59
4	что в	12	57
5	т е	5	54
6	не только	42	41
7	так как	10	34
8	в этом	34	33
9	как бы	10	31
10	но и	34	31
11	как и	14	28
12	может быть	42	28
13	и на	9	28
14	в этот	2	26
15	о том	5	23
16	это не	10	20
17	а в	4	20
18	все это	6	18
19	с тем	10	17
20	потому что	25	17
21	то что	10	17
22	об этом	2	17
23	вместе с	7	17
24	мы не	2	16
25	во многих	2	16
26	один из	9	15
27	будто бы	3	15
28	у нас	13	14
29	для нас	3	14
30	в них	5	14
31	и не	26	14
32	и с	6	14
33	и что	4	14
34	так что	3	13
35	и по	4	13
36	к этому	3	13
37	не может	39	13
38	как в	9	13
39	уже не	8	13
40	в которых	5	13
41	тем что	7	12
42	но это	8	11
43	мы увидим	4	11
44	не имеет	7	11
45	его в	6	10
46	и других	2	10
47	так и	5	10
48	между тем	2	10
49	все же	2	10
50	что и	6	10
51	о чем	3	9
52	но в	12	9
53	и все	13	9
54	что они	4	9
55	того как	3	9
56	с ней	3	9
57	то же	4	9
58	но не	8	9
59	так же	5	8
60	того что	13	8
61	в россии	2	8
62	одно из	3	8
63	того чтобы	4	8
64	что это	5	8
65	не все	3	8
66	во всех	3	8
67	подобно тому	2	8
68	для того	4	8
69	в этих	6	8
70	тому как	2	8
71	в своем	17	7
72	ничего не	4	7
73	в свете	3	7
74	не в	16	7
75	к нему	8	7
76	было бы	11	7
77	до конца	16	7
78	для этого	3	7
79	и как	3	7
80	еще в	4	7
81	только в	7	7
82	как будто	4	7
83	а не	36	7
84	с собой	5	6
85	в этой	12	6
86	и их	3	6
87	и у	3	6
88	друг друга	12	6
89	на этом	5	6
90	в их	4	6
91	тому что	2	6
92	она не	9	6
93	к тому	6	6
94	в нем	26	6
95	все эти	3	6
96	чем в	3	6
97	но она	3	6
98	что она	5	6
99	должен был	4	6
100	также в	2	6
101	на земле	7	6
102	после того	2	6
103	и более	2	6
104	приводит к	2	6
105	на самом	2	5
106	вопрос о	7	5
107	и потому	17	5
108	к себе	3	5
109	но если	4	5
110	тогда когда	2	5
111	что он	16	5
112	нет никаких	2	5
113	прежде всего	18	5
114	в разных	3	5
115	в свою	5	5
116	с этим	4	5
117	в то	2	5
118	для них	3	5
119	не было	25	5
120	в его	10	5
121	к земле	2	5
122	его с	4	5
123	стоит в	3	5
124	и для	7	5
125	входит в	3	5
126	и к	9	5
127	земле и	2	5
128	с ним	5	5
129	западной европы	2	4
130	которые в	2	4
131	означает что	3	4
132	если в	2	4
133	и ее	2	4
134	иное как	4	4
135	не был	8	4
136	он же	3	4
137	не что	4	4
138	у них	4	4
139	нас не	2	4
140	связано с	5	4
141	его и	2	4
142	они и	3	4
143	и там	10	4
144	в образе	4	4
145	могут быть	2	4
146	и тогда	2	4
147	в основе	4	4
148	и от	3	4
149	по своему	3	4
150	а к	2	4
151	к ней	6	4
152	и здесь	6	4
153	к тем	2	4
154	та же	4	4
155	что иное	4	4
156	а за	2	4
157	так называемый	2	4
158	что у	3	4
159	в котором	9	4
160	в своих	4	4
161	уже в	6	4
162	в ней	23	4
163	вряд ли	3	4
164	то время	2	4
165	в середине	4	4
166	во всем	5	4
167	но он	17	4
168	никогда не	30	3
169	чтобы не	4	3
170	последний день	2	3
171	ее и	2	3
172	его к	2	3
173	и поэтому	3	3
174	то есть	3	3
175	есть и	6	3
176	это и	7	3
177	в виду	2	3
178	на все	3	3
179	как он	4	3
180	они были	2	3
181	что все	5	3
182	любви и	3	3
183	и это	16	3
184	точки зрения	6	3
185	этот случай	2	3
186	живет в	2	3
187	с которой	2	3
188	и те	4	3
189	христа и	4	3
190	же не	2	3
191	совсем не	3	3
192	в ее	3	3
193	и во	5	3
194	в своей	18	3
195	он был	18	3
196	нет и	6	3
197	из самых	9	3
198	место в	4	3
199	хотя и	2	3
200	увидим что	5	3
201	и то	2	3
202	по отношению	4	3
203	человека а	3	3
204	и еще	3	3
205	в которой	8	3
206	церковь и	2	3
207	которые не	2	3
208	от этого	4	3
209	чем у	8	3
210	к другу	6	3
211	если бы	5	3
212	жизни в	3	3
213	отношению к	4	3
214	сих пор	5	3
215	жизнь и	5	3
216	есть в	3	3
217	на этот	2	3
218	думать что	4	3
219	не к	6	3
220	все что	5	3
