N	2gram	Bakhtin_fo	Tragedij
1	и в	84	18
2	в романе	40	10
3	в этом	41	9
4	не только	16	8
5	и не	19	7
6	он сам	2	7
7	и на	13	7
8	как бы	11	7
9	и с	10	7
10	может быть	18	7
11	же время	13	6
12	что он	2	6
13	но в	16	6
14	и его	26	6
15	в образе	8	6
16	у него	8	6
17	к жизни	2	5
18	все же	12	5
19	это не	8	5
20	то же	18	5
21	как и	15	5
22	в дальнейшем	10	5
23	так и	17	5
24	не может	8	5
25	в то	13	5
26	он всегда	2	4
27	что в	9	4
28	еще не	8	4
29	в целом	2	4
30	но и	14	4
31	прежде всего	28	4
32	об этом	3	4
33	том что	7	4
34	в этой	3	4
35	так же	7	4
36	и все	10	4
37	все это	10	4
38	в нем	28	4
39	то что	13	4
40	и даже	5	4
41	в себе	7	4
42	этот образ	2	4
43	один из	5	3
44	и как	12	3
45	в мире	4	3
46	уже в	5	3
47	в своем	8	3
48	при этом	8	3
49	в его	19	3
50	все эти	12	3
51	и он	3	3
52	отнюдь не	7	3
53	о чем	4	3
54	в основном	12	3
55	с ее	7	3
56	и сам	2	3
57	никто не	2	3
58	должно быть	6	3
59	как в	10	3
60	как это	2	3
61	жизнь и	4	3
62	для него	5	3
63	то есть	42	3
64	романа и	4	3
65	в конце	11	3
66	с ним	5	3
67	никогда не	8	2
68	в самом	9	2
69	и то	5	2
70	но все	6	2
71	данном случае	2	2
72	до конца	5	2
73	с тем	5	2
74	ее к	2	2
75	одна из	3	2
76	друг друга	3	2
77	тем что	4	2
78	вопрос о	2	2
79	в одном	10	2
80	его в	8	2
81	не имеет	5	2
82	раз и	3	2
83	ничего не	9	2
84	нет в	2	2
85	имеет в	2	2
86	в данном	4	2
87	не могут	4	2
88	в ее	6	2
89	но эта	5	2
90	что все	4	2
91	к тому	6	2
92	а как	3	2
93	о том	4	2
94	что и	5	2
95	ни в	9	2
96	не в	10	2
97	и здесь	2	2
98	потому что	11	2
99	между этими	4	2
100	было в	2	2
101	в частности	11	2
102	как у	2	2
103	в таком	4	2
104	так что	4	2
105	он не	6	2
106	и ее	4	2
107	уже не	5	2
108	из самых	3	2
109	только к	3	2
110	этими двумя	3	2
111	и это	5	2
112	этого романа	6	2
113	личности и	2	2
114	но они	3	2
115	отличие от	3	2
116	в том	16	2
117	в глаза	3	2
118	и до	7	2
119	в отличие	3	2
120	не был	2	2
121	с его	10	2
122	он был	2	2
123	в это	5	2
124	времени в	14	2
125	отношение к	5	2
