N	2gram	Bakhtin_fo	Istorich
1	и в	84	181
2	и т	21	160
3	т д	3	142
4	может быть	18	115
5	не только	16	114
6	что он	2	111
7	мы имеем	2	102
8	что в	9	90
9	но и	14	85
10	в этом	41	81
11	так как	12	75
12	то что	13	73
13	таким образом	14	72
14	вместе с	9	71
15	и не	19	67
16	все же	12	65
17	мы видим	4	65
18	в этих	6	64
19	еще не	8	63
20	не может	8	61
21	так же	7	57
22	то же	18	56
23	никогда не	8	56
24	в том	16	53
25	том что	7	53
26	с другой	4	52
27	а в	6	52
28	потому что	11	52
29	что и	5	51
30	и здесь	2	51
31	мы видели	2	49
32	о том	4	48
33	а не	7	48
34	его в	8	47
35	не в	10	47
36	мы должны	2	44
37	но в	16	44
38	и пр	2	44
39	это не	8	43
40	и его	26	43
41	в нем	28	42
42	только в	12	42
43	как в	10	42
44	или в	3	39
45	в его	19	38
46	для нас	2	38
47	тем что	4	38
48	и на	13	38
49	что здесь	2	37
50	так и	17	37
51	он не	6	37
52	уже не	5	37
53	как и	15	37
54	мы уже	17	37
55	мы можем	2	36
56	мы увидим	2	36
57	здесь мы	4	35
58	с тем	5	35
59	что они	3	35
60	все эти	12	35
61	мы не	4	35
62	во время	7	34
63	но не	9	34
64	связи с	14	34
65	у него	8	34
66	там где	4	33
67	же как	2	33
68	об этом	3	33
69	попадает в	2	32
70	сих пор	4	32
71	в качестве	6	32
72	так в	2	31
73	ничего не	9	31
74	прежде всего	28	31
75	один из	5	31
76	с этим	11	30
77	до сих	4	30
78	с одной	5	30
79	но все	6	29
80	как мы	19	29
81	одной стороны	3	29
82	например в	7	28
83	и другие	6	28
84	и с	10	28
85	как он	4	27
86	так что	4	27
87	в образе	8	27
88	того что	5	27
89	могут быть	7	27
90	в ней	4	26
91	как это	2	26
92	и др	13	26
93	вопрос о	2	25
94	в дальнейшем	10	25
95	и он	3	25
96	было бы	2	24
97	если бы	6	24
98	что мы	2	24
99	к этому	5	24
100	все это	10	23
101	в частности	11	23
102	в этой	3	23
103	их в	6	23
104	имеем в	3	23
105	и это	5	23
106	как бы	11	23
107	при этом	8	22
108	и по	5	22
109	с ним	5	22
110	в некоторых	4	22
111	в одном	10	21
112	сказать что	4	21
113	ее в	2	21
114	в другом	2	21
115	к тому	6	21
116	они не	4	21
117	здесь не	5	21
118	в связи	13	21
119	связан с	2	21
120	она не	2	20
121	одна из	3	20
122	в других	9	20
123	из них	8	20
124	наряду с	7	20
125	из этих	5	20
126	а затем	3	19
127	и как	12	19
128	с собой	2	19
129	есть и	4	19
130	но он	4	19
131	после этого	2	18
132	в данном	4	18
133	в дом	2	18
134	вовсе не	20	18
135	в то	13	18
136	по существу	17	17
137	и только	3	17
138	и этим	2	17
139	том как	2	17
140	в них	11	17
141	и они	4	16
142	герой в	2	16
143	всех этих	9	16
144	и все	10	16
145	между двумя	6	16
146	в котором	8	16
147	во всех	13	16
148	данном случае	2	15
149	в целом	2	15
150	в своей	2	15
151	и то	5	15
152	в особенности	15	15
153	его и	2	15
154	в пределах	8	15
155	друг друга	3	15
156	и даже	5	15
157	в которых	4	15
158	в одной	2	15
159	отношение к	5	14
160	у нас	2	14
161	а также	5	14
162	с этой	3	14
163	мы еще	5	14
164	в него	2	14
165	отношению к	5	14
166	и есть	3	14
167	его на	3	14
168	и ее	4	14
169	одной из	3	14
170	по отношению	3	14
171	и наконец	6	14
172	но они	3	14
173	находится в	3	14
174	на себя	2	14
175	к своему	2	13
176	и для	12	13
177	все что	2	13
178	в таких	2	13
179	смерти и	2	13
180	и от	3	13
181	на котором	2	13
182	на этом	2	13
183	в своем	8	13
184	время как	5	13
185	и у	8	13
186	не имеет	5	13
187	в себе	7	13
188	в форме	5	13
189	по себе	3	13
190	то время	4	13
191	а потом	2	12
192	с мотивом	3	12
193	кроме того	7	12
194	во всем	3	12
195	в их	9	12
196	и их	11	12
197	в более	2	12
198	на землю	2	12
199	хотя бы	2	12
200	ни один	2	12
201	к себе	8	12
202	в основном	12	12
203	не знает	4	12
204	что не	3	12
205	к ней	2	12
206	и вот	2	11
207	от этого	4	11
208	никто не	2	11
209	и более	3	11
210	связанные с	5	11
211	происходит в	2	11
212	точки зрения	14	11
213	хотя и	5	11
214	в этот	5	11
215	здесь еще	5	11
216	уже в	5	11
217	человека в	22	11
218	далеко не	3	11
219	же в	6	11
220	ясно что	2	11
221	на острове	4	11
222	но оно	2	11
223	должны быть	2	11
224	под землей	2	10
225	на этой	4	10
226	в ее	6	10
227	и тот	2	10
228	почти всегда	2	10
229	эта форма	2	10
230	вступает в	2	10
231	есть только	2	10
232	связанных с	3	10
233	если не	3	10
234	к ним	3	10
235	на земле	2	10
236	начинается с	2	10
237	их не	2	10
238	на основе	5	10
239	не как	2	10
240	и других	5	10
241	связаны с	3	10
242	в которой	3	10
243	ни в	9	10
244	его к	2	10
245	о чем	4	10
246	в это	5	10
247	не было	8	10
248	себя в	2	10
249	друг с	5	10
250	и к	4	10
251	в различных	2	10
252	а как	3	9
253	он должен	2	9
254	сюда же	2	9
255	в истории	6	9
256	тот же	4	9
257	в основе	9	9
258	в свою	2	9
259	которой он	3	9
260	в себя	3	9
261	не могут	4	9
262	здесь нет	3	9
263	тогда когда	2	9
264	по этому	2	9
265	но эти	4	9
266	но для	2	9
267	жизни и	12	9
268	героя и	7	9
269	с другом	5	9
270	но по	2	9
271	что на	3	9
272	на первый	2	9
273	превращение в	2	9
274	только на	3	9
275	в чем	3	9
276	стороны и	2	9
277	с его	10	9
278	в течение	2	9
279	и так	2	9
280	целый ряд	2	9
281	ему в	3	9
282	не имеют	4	8
283	должен быть	2	8
284	роль в	12	8
285	у них	4	8
286	одно из	3	8
287	здесь в	6	8
288	вообще не	4	8
289	именно в	5	8
290	входит в	3	8
291	во всяком	5	8
292	мы будем	5	8
293	образом и	2	8
294	здесь же	2	8
295	на другой	2	8
296	это значит	3	8
297	в жизни	6	8
298	большинстве случаев	2	8
299	в преисподнюю	2	8
300	же самое	2	8
301	но она	2	8
302	и потому	4	8
303	оказывается что	2	8
304	могло быть	5	8
305	ту же	4	8
306	смерти в	3	8
307	та же	4	8
308	которые в	2	8
309	и стал	2	8
310	его с	2	8
311	он был	2	8
312	и эта	2	8
313	и сам	2	8
314	можно сказать	2	8
315	с другими	3	8
316	значит что	2	8
317	конечно не	7	8
318	в конце	11	7
319	с самого	3	7
320	а только	2	7
321	большую роль	4	7
322	того чтобы	11	7
