N	2gram	Bakhtin_KF	Komedia
1	и в	28	77
2	и не	28	47
3	в том	6	44
4	том что	4	42
5	о том	3	33
6	едва ли	2	32
7	но и	9	32
8	может быть	45	30
9	в то	3	28
10	и его	18	28
11	в этом	15	27
12	потому что	2	27
13	что он	2	26
14	не только	5	25
15	как и	5	23
16	ни в	12	23
17	что в	4	23
18	что и	7	22
19	если бы	8	22
20	так и	2	21
21	а в	5	21
22	то же	5	21
23	ясно что	3	21
24	в его	42	20
25	со стороны	8	19
26	к этому	2	19
27	в этой	2	18
28	тем что	3	17
29	еще не	5	17
30	и здесь	7	17
31	в нем	32	17
32	же время	2	17
33	все же	5	16
34	не менее	3	16
35	при этом	4	16
36	тот же	3	16
37	он не	6	16
38	его в	5	15
39	в своем	17	15
40	не в	13	15
41	точки зрения	13	15
42	между тем	4	15
43	прежде всего	4	15
44	один из	2	15
45	было бы	8	15
46	и на	3	15
47	к нему	12	14
48	все это	10	14
49	в свою	3	14
50	то что	7	13
51	самом деле	3	13
52	но в	5	13
53	того чтобы	2	13
54	в одном	5	13
55	для того	3	12
56	не по	4	12
57	в качестве	2	12
58	не может	29	12
59	как в	2	12
60	но не	12	12
61	в котором	24	12
62	из которых	2	12
63	по отношению	26	11
64	в их	9	11
65	с тем	2	11
66	и для	10	11
67	с ним	5	11
68	в целом	10	10
69	к себе	2	10
70	отношение к	6	10
71	ничего не	3	10
72	и все	9	10
73	в чем	4	10
74	мы не	3	10
75	с его	2	10
76	как бы	9	10
77	тому что	2	9
78	из его	3	9
79	в своей	11	9
80	независимо от	3	9
81	отношению к	22	9
82	но все	6	9
83	вовсе не	7	9
84	говорить о	2	9
85	только в	18	9
86	в ней	3	9
87	и ее	2	8
88	и других	2	8
89	то ни	2	8
90	по своему	3	8
91	место в	6	8
92	не знает	5	8
93	если не	2	8
94	не было	8	8
95	во всех	11	8
96	вопрос о	2	7
97	до конца	3	7
98	в себе	21	7
99	в другом	3	7
100	и это	12	7
101	бы то	2	7
102	хотя бы	5	7
103	дело с	2	7
104	ни было	4	7
105	и тот	3	7
106	не имеет	6	7
107	отнюдь не	7	7
108	для нас	4	7
109	в виду	3	6
110	и тем	3	6
111	в области	2	6
112	могут быть	3	6
113	что не	3	6
114	нет и	3	6
115	это было	2	6
116	тем не	2	6
117	и как	2	6
118	в своих	4	6
119	еще более	2	6
120	а по	2	6
121	с точки	10	6
122	а не	17	6
123	не дает	3	6
124	никогда не	5	5
125	это не	10	5
126	его на	2	5
127	в каждом	3	5
128	и мы	2	5
129	к ним	4	5
