N	2gram	Medvedev_V	Tvorches
1	и в	26	56
2	как бы	5	41
3	в его	15	37
4	в романе	4	34
5	в то	6	30
6	то же	10	25
7	не только	26	24
8	но в	2	24
9	в году	7	24
10	же время	5	24
11	и его	6	23
12	и не	20	23
13	а в	3	23
14	как и	7	23
15	и т	25	22
16	в этом	29	22
17	в том	15	21
18	что в	11	21
19	том что	8	19
20	он не	2	19
21	может быть	23	19
22	у него	6	18
23	то что	7	18
24	что он	4	17
25	все это	13	17
26	т д	16	17
27	таким образом	32	17
28	никогда не	5	16
29	прежде всего	13	16
30	не может	17	16
31	но и	10	16
32	в творчестве	3	16
33	в этой	4	15
34	с его	4	15
35	это не	7	14
36	и даже	2	14
37	о том	10	13
38	а не	7	13
39	в целом	5	12
40	в котором	3	12
41	все же	6	11
42	в своей	4	11
43	братьях карамазовых	2	11
44	для него	9	11
45	отнюдь не	4	11
46	в конце	3	10
47	не в	6	10
48	в основном	7	10
49	так и	6	10
50	творческого процесса	23	10
51	но не	2	10
52	в самом	4	10
53	когда он	4	10
54	и достоевский	2	10
55	он сам	2	10
56	только в	8	10
57	в нем	7	9
58	один из	6	9
59	а затем	2	9
60	и от	3	9
61	человека в	2	9
62	в своих	2	9
63	даже в	5	8
64	так же	3	8
65	в себе	6	8
66	человека и	3	8
67	в их	5	8
68	одной из	2	8
69	не менее	2	8
70	вовсе не	3	8
71	к этому	9	8
72	об этом	9	8
73	еще не	2	8
74	одним из	5	8
75	именно в	3	8
76	хотя и	2	8
77	вместе с	8	8
78	достоевского и	2	7
79	в чем	2	7
80	например в	3	7
81	и он	3	7
82	что она	2	7
83	в которой	2	7
84	во сне	21	7
85	идей в	2	7
86	и сам	2	7
87	в книге	2	6
88	его в	3	6
89	приводит к	6	6
90	ли не	2	6
91	братьев карамазовых	2	6
92	не столько	2	6
93	все эти	8	6
94	и ее	4	6
95	одна из	4	6
96	хотя бы	20	6
97	конечном счете	5	6
98	и как	3	6
99	если бы	3	6
100	в конечном	7	6
101	своих героев	2	6
102	бы не	2	5
103	начиная с	2	5
104	по отношению	7	5
105	и у	2	5
106	том же	6	5
107	как он	3	5
108	т п	9	5
109	в образе	2	5
110	в своем	8	5
111	в них	5	5
112	в творческом	3	5
113	у пушкина	2	5
114	значит что	2	5
115	что не	3	5
116	что и	3	5
117	отметить что	2	5
118	в ее	4	5
119	и по	3	5
120	что они	3	5
121	во всей	2	5
122	показывает что	2	5
123	с этим	3	5
124	процесса в	2	5
125	на него	2	5
126	между тем	6	5
127	как у	2	5
128	в известной	2	5
129	отношению к	7	5
130	что у	3	5
131	с другой	11	5
132	из них	11	5
133	не было	7	5
134	но с	2	5
135	в пользу	2	5
136	января года	3	4
137	перед нами	5	4
138	апреля года	2	4
