N	3gram	Vinokur_Ku	Myslijsy
1	в том что	23	47
2	по отношению к	8	26
3	не может быть	5	19
4	тем не менее	9	18
5	по крайней мере	11	17
6	только тогда когда	2	17
7	и т д	21	15
8	мере того как	3	14
9	в свою очередь	4	14
10	само по себе	6	14
11	по мере того	3	14
12	то же время	4	13
13	в то же	4	13
14	не в том	5	13
15	в том смысле	2	13
16	во всяком случае	8	12
17	с другой стороны	12	12
18	более или менее	3	12
19	только в том	5	12
20	до сих пор	5	12
21	смысле этого слова	2	12
22	и т п	39	11
23	сами по себе	2	11
24	для того чтобы	21	11
25	а в том	2	11
26	с одной стороны	2	10
27	одного и того	2	9
28	о том что	6	9
29	что язык есть	2	9
30	на то что	3	9
31	и того же	2	9
32	потому что не	2	9
33	на самом деле	3	8
34	так и в	2	8
35	вместе с тем	3	8
36	в этом случае	4	8
37	только потому что	11	8
38	можно сказать что	2	7
39	не только в	4	7
40	с точки зрения	16	7
41	и в том	2	7
42	в этом смысле	8	7
43	после того как	2	6
44	может быть только	2	6
45	в том случае	3	5
46	таким образом в	2	5
47	к тому что	2	5
48	в этом слове	2	5
49	что в языке	2	5
50	в том и	3	4
51	обратить внимание на	2	4
52	и в самом	4	4
53	именно в том	2	4
54	не что иное	2	4
55	в противном случае	2	4
56	с этой точки	3	4
57	в этом отношении	8	4
58	на этот вопрос	3	4
59	что иное как	2	4
60	в том чтобы	9	4
61	рано или поздно	2	3
62	что же касается	4	3
63	этой точки зрения	4	3
64	том что он	4	3
65	ничего общего с	2	3
66	потому что оно	2	3
67	этого слова и	2	3
68	том что оно	2	3
69	можно было бы	11	3
70	не говоря уже	2	3
71	то же в	2	3
72	с течением времени	2	3
73	состоит не в	2	3
74	на язык как	2	3
75	точно так же	4	3
76	в большинстве случаев	2	3
77	хотя бы и	4	3
78	в связи с	4	3
79	лишь в том	2	3
80	заключается в том	2	3
81	мы увидим что	2	3
82	так или иначе	3	3
83	внимание на то	2	3
84	в наше время	3	3
85	в силу того	2	2
86	и там где	2	2
87	силу того что	2	2
88	со стороны говорящего	3	2
89	том случае если	3	2
90	т п и	2	2
91	так же как	3	2
92	и потому что	4	2
93	не потому что	4	2
94	в свое время	4	2
95	и не в	2	2
96	в таких случаях	3	2
97	того что в	2	2
98	а следовательно и	2	2
99	и с этой	2	2
100	о том как	3	2
101	сплошь да рядом	3	2
102	т д не	2	2
103	состоит в том	4	2
104	если бы например	2	2
105	мы говорим о	3	2
106	в целом и	2	2
107	к тому чтобы	2	2
108	и тогда когда	3	2
109	того что они	2	2
110	но все же	3	2
111	что все эти	2	2
