N	2gram	Medvedev_F	Mirosoze
1	и в	54	97
2	может быть	30	64
3	не только	14	63
4	в этом	39	55
5	но и	18	54
6	он не	8	53
7	а не	11	53
8	в нем	25	49
9	не может	26	49
10	и не	34	39
11	никогда не	6	38
12	потому что	2	37
13	в ней	15	37
14	не было	7	36
15	не в	16	34
16	для него	9	31
17	есть лишь	3	30
18	не есть	4	30
19	но он	2	30
20	прежде всего	34	29
21	как и	18	29
22	но в	9	27
23	в мире	4	27
24	и это	4	25
25	в своей	16	25
26	и все	9	24
27	у нас	6	24
28	в своем	12	23
29	что в	10	23
30	что он	8	22
31	в самом	17	21
32	в себе	4	20
33	отношение к	4	20
34	до конца	9	19
35	в россии	4	19
36	как бы	10	19
37	человек не	3	19
38	в его	30	18
39	и потому	9	17
40	того что	7	17
41	в том	17	16
42	том что	3	16
43	то что	14	16
44	было бы	10	16
45	и его	27	16
46	в этой	10	15
47	в котором	2	15
48	в конце	2	14
49	она не	8	14
50	так как	4	14
51	к отрицанию	3	14
52	в русском	2	13
53	та же	3	13
54	и вот	2	13
55	друг друга	4	13
56	и на	10	13
57	это не	4	12
58	к нему	3	12
59	в них	4	12
60	все это	11	12
61	но не	5	12
62	с тем	11	11
63	но это	4	11
64	менее всего	4	11
65	хотя бы	10	11
66	в которой	5	11
67	только в	6	11
68	был бы	2	11
69	как в	12	11
70	и для	5	11
71	уже не	9	11
72	и к	7	11
73	жизни и	10	11
74	не могут	8	10
75	так же	5	10
76	это и	7	10
77	один из	4	10
78	должна быть	11	10
79	то же	16	10
80	не имеет	2	10
81	в самой	2	10
82	а в	11	9
83	к тому	6	9
84	не будет	2	9
85	что и	10	9
86	и во	2	9
87	должно быть	13	9
88	в свою	8	9
89	с ним	3	9
90	лишь в	15	9
91	вместе с	8	9
92	вопрос о	3	8
93	ничего не	5	8
94	от него	2	8
95	в этих	3	8
96	не так	4	8
97	они не	7	8
98	что не	4	8
99	того чтобы	4	8
100	в отношении	3	8
101	т е	50	8
102	только и	7	8
103	нет в	2	8
104	с его	12	8
105	за пределы	2	8
106	тем что	6	8
107	для того	3	8
108	отношении к	2	8
109	нет и	2	8
110	и с	17	8
111	еще в	2	8
112	она есть	2	7
113	как он	2	7
114	высшей степени	4	7
115	должен быть	5	7
116	он в	3	7
117	точки зрения	21	7
118	на этом	2	7
119	в высшей	4	7
120	жизни в	2	7
121	в жизни	3	7
122	в нашем	2	7
123	если он	4	7
124	все в	3	7
125	от нее	6	7
126	отношения к	6	7
127	во всем	3	7
128	чтобы не	2	6
129	его в	5	6
130	не как	7	6
131	на все	3	6
132	у них	3	6
133	всего в	5	6
134	в ее	10	6
135	его не	2	6
136	и те	2	6
137	совсем не	2	6
138	должен был	3	6
139	быть и	5	6
140	и от	9	6
141	к ней	3	6
142	было в	3	6
143	если бы	8	6
144	с этой	4	6
145	же и	2	6
146	русской литературы	2	6
147	жизнь и	3	6
148	и более	4	6
149	на то	2	6
150	и здесь	8	6
151	не к	2	6
152	и если	2	5
153	оно не	6	5
154	в то	14	5
155	к которому	2	5
156	в их	16	5
157	так и	24	5
158	все время	7	5
159	они и	2	5
160	и этот	2	5
161	от этого	3	5
162	в более	2	5
163	не для	4	5
164	должны быть	6	5
165	сказать что	3	5
166	во всяком	6	5
167	в основе	7	5
168	с этим	6	5
169	к новому	3	5
170	вопроса о	2	5
171	по преимуществу	6	5
172	отличается от	4	5
173	и как	6	5
174	бы в	6	5
175	мы увидим	5	5
176	для этого	6	5
177	еще не	6	5
178	его и	2	5
179	сих пор	7	5
180	культуры и	3	5
181	думать что	4	5
182	когда он	3	5
183	в самую	2	5
184	до сих	7	5
185	той же	2	5
186	социальной среды	2	4
187	ее и	3	4
188	по отношению	4	4
189	как о	8	4
190	в каждом	3	4
191	и через	2	4
192	от того	2	4
193	как к	5	4
194	конце концов	2	4
195	он должен	4	4
196	так что	2	4
197	в такой	3	4
198	к другому	2	4
199	отношением к	2	4
200	они были	4	4
201	в чем	2	4
202	в него	2	4
203	тому что	3	4
204	к этой	4	4
205	и этим	2	4
206	место в	8	4
207	могут быть	7	4
208	для них	4	4
209	не была	2	4
210	и до	8	4
211	все эти	12	4
212	что они	4	4
213	в истории	10	4
214	себе в	2	4
215	никто не	2	4
216	сам он	2	4
217	вряд ли	2	4
218	к миру	2	4
219	не от	3	4
220	его с	5	4
221	и даже	7	4
222	и по	3	4
223	что было	2	4
224	ни в	3	4
225	и их	13	4
226	и только	5	4
227	особенно в	6	4
228	от всякого	2	4
229	мы не	6	4
230	отношению к	4	4
231	от его	3	4
232	еще более	6	4
233	в эпоху	2	4
234	в той	3	4
235	в своих	3	4
236	на своем	3	4
237	и что	2	4
238	к его	3	3
239	к этим	2	3
240	жизни не	2	3
241	можно и	2	3
242	является в	2	3
243	и глубже	3	3
244	а лишь	4	3
245	и тем	3	3
246	все же	8	3
247	что же	6	3
248	даже и	5	3
249	между тем	4	3
250	в виду	2	3
251	что оно	4	3
252	на его	2	3
253	же как	3	3
254	и судьба	2	3
255	и самый	3	3
256	от всякой	2	3
257	движения в	2	3
258	всю свою	2	3
259	хотя и	3	3
260	литературы и	6	3
261	значительной степени	3	3
262	из этой	2	3
263	а к	2	3
264	и эта	2	3
265	в душе	2	3
266	к этому	3	3
267	конечно не	5	3
268	в этот	2	3
269	в значительной	3	3
270	то чтобы	2	3
271	превращается в	2	3
272	от всех	5	3
273	а от	2	3
274	но ведь	4	3
275	со всеми	3	3
276	из него	2	3
277	в пределах	13	3
278	лишь как	7	3
279	во всех	9	3
280	в ином	2	3
281	не с	2	3
282	на почве	20	3
283	входит в	8	3
284	но для	4	3
285	приводит к	4	3
286	жизни а	2	3
287	лишь для	3	3
288	в одном	2	3
289	ко всем	2	3
290	всяком случае	6	3
291	роль в	2	3
292	и должно	4	3
293	и всю	2	3
294	учение о	4	3
295	и всякий	2	3
296	глубже чем	2	2
297	не о	7	2
298	на самом	8	2
299	все более	4	2
300	как ее	4	2
301	к одному	2	2
302	в понимании	7	2
303	в действительности	3	2
304	тому чтобы	2	2
305	если в	3	2
306	и слишком	2	2
307	нисколько не	2	2
308	есть только	3	2
309	а как	5	2
310	и других	4	2
311	возможно лишь	2	2
312	они должны	2	2
313	начала и	2	2
314	нас не	3	2
315	самом деле	12	2
316	была бы	4	2
317	исключительно как	2	2
318	проблемы и	2	2
319	смысле этого	4	2
320	его от	5	2
321	нужно было	2	2
322	от них	2	2
323	для нашего	2	2
324	не менее	12	2
325	но из	2	2
326	она была	3	2
327	тем самым	5	2
328	ни одного	2	2
329	между ними	3	2
330	не столько	5	2
331	связи с	12	2
332	в сущности	3	2
333	то от	2	2
334	е в	2	2
335	и ее	15	2
336	во всей	4	2
337	столь же	2	2
338	этого слова	4	2
339	как для	2	2
340	правда в	3	2
341	их в	2	2
342	между двумя	3	2
343	до последнего	2	2
344	на всю	2	2
345	не могли	2	2
346	ее как	2	2
347	что если	2	2
348	своей книге	2	2
349	то в	3	2
350	более и	3	2
351	себе а	2	2
352	бы быть	3	2
353	его как	5	2
354	с их	2	2
355	это было	3	2
356	этом отношении	7	2
357	нее не	2	2
358	целый ряд	4	2
359	жизнь как	3	2
360	мира в	2	2
361	ней все	2	2
362	ее в	3	2
363	смысл и	2	2
364	и о	3	2
365	не по	4	2
366	о мире	2	2
367	в какой	3	2
368	на западе	4	2
369	этими двумя	2	2
370	с другой	8	2
371	прежде чем	2	2
372	что такое	2	2
373	в смысле	2	2
374	во втором	7	2
375	том смысле	3	2
376	характерно для	2	2
377	он и	3	2
378	по себе	10	2
379	и действительно	2	2
380	же что	2	2
381	к какому	2	2
382	сам по	2	2
383	что эта	2	2
384	бы ни	5	2
385	и чтобы	2	2
386	среды и	3	2
387	но эта	2	2
