N	2gram	Nazirov_Tv	Narrotol
1	не только	16	62
2	и не	12	50
3	при этом	14	47
4	но и	10	45
5	а не	9	38
6	в качестве	2	35
7	в частности	4	31
8	может быть	11	30
9	и в	40	30
10	в том	13	29
11	своего рода	7	28
12	том что	14	28
13	тогда как	3	28
14	в этом	11	28
15	а в	10	27
16	представляет собой	4	25
17	только в	7	25
18	в данном	2	24
19	как и	16	24
20	не в	3	23
21	то что	9	23
22	то есть	16	22
23	не может	9	20
24	в рассказе	4	18
25	данном случае	2	17
26	в себе	3	17
27	так и	5	17
28	в его	19	16
29	но в	11	15
30	можно сказать	2	15
31	к тому	2	15
32	в жизни	3	14
33	и его	14	14
34	в своем	4	13
35	в своей	8	13
36	то же	19	13
37	времени и	4	13
38	у него	11	13
39	о том	9	13
40	уже не	6	13
41	перед нами	3	12
42	все же	9	12
43	прежде всего	10	12
44	как в	10	12
45	на протяжении	3	12
46	как бы	26	12
47	сводится к	2	12
48	тем самым	10	11
49	по отношению	3	11
50	и тем	2	11
51	героя в	4	11
52	отличие от	3	11
53	об этом	4	11
54	в нем	4	11
55	в этой	7	11
56	если бы	4	11
57	жизни в	9	11
58	отношению к	3	11
59	в отличие	3	11
60	в мире	8	11
61	хотя и	5	11
62	никогда не	13	10
63	в то	23	10
64	ничего не	3	10
65	как это	2	10
66	один из	5	10
67	того что	3	10
68	как правило	3	10
69	не является	3	10
70	и все	6	10
71	но не	7	10
72	жизни и	3	10
73	тому же	2	10
74	между тем	2	10
75	с его	12	10
76	во времени	3	9
77	в соответствии	7	9
78	еще не	5	9
79	что он	11	9
80	что в	17	9
81	отнюдь не	9	9
82	тем не	2	9
83	для него	9	9
84	далеко не	3	9
85	столь же	2	9
86	потому что	10	9
87	с ним	4	9
88	как раз	2	9
89	самом деле	4	8
90	не менее	8	8
91	одна из	5	8
92	и он	4	8
93	у нее	4	8
94	мира в	2	8
95	у нас	2	8
96	в литературе	4	8
97	в самом	6	8
98	соответствии с	7	8
99	же время	18	8
100	в таком	4	8
101	он не	10	8
102	не мог	3	8
103	в свою	8	7
104	это не	9	7
105	вслед за	2	7
106	в конце	5	7
107	едва ли	2	7
108	в принципе	5	7
109	а во	2	7
110	в чем	4	7
111	в ней	2	7
112	одного из	3	7
113	на себя	2	7
