N	3gram	Trubetskoy	formyVre
1	то же время	2	21
2	в то же	2	18
3	в связи с	3	15
4	с точки зрения	6	15
5	друг с другом	5	13
6	для того чтобы	5	12
7	до сих пор	5	10
8	в том числе	5	8
9	в этом отношении	2	7
10	с одной стороны	7	6
11	и в этом	2	6
12	в том что	3	5
13	том числе и	4	5
14	той или иной	2	5
15	может быть и	2	4
16	друг на друга	2	4
17	но все же	4	4
18	во всяком случае	6	4
19	то же самое	2	3
20	о том что	4	3
21	сих пор еще	2	3
22	вместе с тем	8	3
23	так же как	3	3
24	между этими двумя	2	3
25	с самого начала	2	3
26	по сравнению с	2	3
27	в значительной мере	2	2
28	можно сказать что	2	2
29	и вместе с	4	2
30	не только для	2	2
31	к тому же	4	2
