N	3gram	Tiupa_Narr	Komedia
1	в том что	11	29
2	к тому же	8	21
3	до сих пор	3	16
4	то же время	7	16
5	в то же	7	16
6	о том что	3	13
7	в самом деле	3	13
8	для того чтобы	4	11
9	и т п	2	11
10	в свою очередь	2	10
11	едва ли не	2	10
12	по отношению к	5	9
13	с одной стороны	5	9
14	речь идет о	3	8
15	на себя внимание	3	7
16	во всяком случае	2	7
17	обращает на себя	3	7
18	в связи с	3	6
19	с точки зрения	2	6
20	тому же в	2	6
21	в отличие от	6	6
22	то же самое	3	5
23	в этом отношении	5	5
24	в ответ на	3	5
25	тем не менее	6	5
26	к тому что	4	4
27	что у него	2	4
28	более или менее	2	3
29	в соответствии с	7	3
30	но и в	4	3
31	хотя и не	2	3
32	на то что	2	3
33	состоит в том	5	3
34	но при этом	3	2
35	подобно тому как	4	2
36	в первом случае	3	2
37	и все же	4	2
38	в нем не	2	2
39	в зависимости от	3	2
40	точно так же	2	2
41	не было и	2	2
42	не только в	12	2
43	всю свою жизнь	2	2
44	на то чтобы	2	2
45	в частности в	2	2
46	так и не	2	2
47	в конечном счете	4	2
48	и в то	2	2
