N	2gram	Voloshinov	NovoeSre
1	а не	15	17
2	и в	32	16
3	не может	40	16
4	совсем не	2	12
5	нового времени	2	12
6	и не	42	11
7	и есть	3	10
8	что в	5	9
9	жизни и	4	8
10	в том	13	8
11	он не	5	8
12	не будет	7	7
13	может быть	50	7
14	как и	19	7
15	в этом	27	7
16	культуры и	2	7
17	никогда не	7	6
18	в высшей	5	6
19	лишь в	17	6
20	ни в	7	6
21	не в	13	6
22	высшей степени	5	6
23	не знает	4	6
24	с его	6	6
25	не только	18	5
26	в жизни	2	5
27	должен быть	2	5
28	все это	4	5
29	в нем	17	5
30	с ее	2	5
31	в ней	5	5
32	и к	3	5
33	xix века	4	5
34	должно быть	4	4
35	со всех	2	4
36	и для	15	4
37	есть лишь	2	4
38	не имеет	6	4
39	всех сторон	2	4
40	прежде всего	19	4
41	не менее	5	4
42	не было	6	4
43	и потому	7	4
44	перестает быть	2	4
45	то что	12	4
46	о том	4	4
47	это не	5	4
48	потому что	2	4
49	и все	8	4
50	смысле слова	4	3
51	но и	17	3
52	к жизни	2	3
53	с другой	6	3
54	не значит	2	3
55	в ее	9	3
56	она не	2	3
57	к тому	8	3
58	и пр	31	3
59	что такое	3	3
60	жизни в	5	3
61	в своей	5	3
62	еще не	7	3
63	в истории	5	3
64	эти формы	3	3
65	должна быть	6	3
66	в новое	2	3
67	как в	5	3
68	конечно не	9	3
69	не есть	6	3
70	за пределы	8	3
71	в духе	2	3
72	сказать что	7	3
73	во всех	13	3
74	вопрос о	6	3
75	это было	2	3
76	не существует	6	3
77	стремится к	2	3
78	в основе	10	3
79	зависит от	2	2
80	в себе	5	2
81	к более	2	2
82	и с	4	2
83	одна из	6	2
84	формы и	4	2
85	себя в	2	2
86	но не	2	2
87	нет и	4	2
88	и т.п	17	2
89	что все	3	2
90	и от	6	2
91	общества и	2	2
92	того чтобы	9	2
93	и это	6	2
94	хотя бы	8	2
95	же как	2	2
96	а в	5	2
97	но в	13	2
98	том что	12	2
99	не к	3	2
100	мысли в	3	2
101	можно назвать	2	2
102	и на	8	2
103	с этим	6	2
104	борьба и	2	2
105	бытия в	9	2
106	и что	2	2
107	все эти	8	2
108	мы не	6	2
109	на протяжении	2	2
110	в смысле	11	2
111	не имеют	5	2
112	можно было	2	2
113	это и	3	2
114	связаны с	3	2
115	каждого человека	2	2
116	мира и	2	2
117	у него	2	2
118	уже не	2	2
119	с их	2	2
120	как это	2	2
121	другой стороны	7	2
122	так же	10	2
123	так и	21	2
124	ни к	3	2
125	нем нет	4	2
126	в нашу	3	2
127	могут быть	4	2
128	но для	4	2
129	одной стороны	2	2
130	быть в	2	2
131	в то	7	2
132	не могла	2	2
133	связана с	4	2
134	мысли и	7	2
135	должно было	2	2
136	этом смысле	2	2
137	с одной	2	2
138	и формы	5	2
139	место в	5	2
140	и даже	4	2
141	вместе с	2	2
