N	3gram	Bakhtin_Pr	Morfolog
1	и т д	4	60
2	в этих случаях	2	14
3	не может быть	8	9
4	по отношению к	12	7
5	с точки зрения	21	6
6	тем не менее	2	6
7	подобно тому как	3	5
8	то перед нами	7	5
9	с другой стороны	6	5
10	как мы увидим	3	5
11	на самом деле	4	4
12	но все же	3	4
13	в том что	6	4
14	о том что	2	3
15	бы то ни	3	3
16	то время как	2	3
17	в настоящее время	3	3
18	в то время	2	3
19	как и в	3	3
20	в большинстве случаев	10	3
21	на то что	2	3
22	это не значит	3	2
23	и в других	2	2
24	во всяком случае	4	2
25	то ни было	2	2
26	в данном случае	2	2
27	он может быть	2	2
28	не входит в	4	2
29	более или менее	4	2
30	в этом отношении	3	2
31	друг за другом	2	2
32	оно может быть	2	2
33	может быть и	2	2
34	а вовсе не	2	2
35	хотя и не	3	2
36	можно было бы	3	2
37	друг на друга	2	2
