N	2gram	Potebnia_M	VerxiiNi
1	и в	48	26
2	таким образом	24	22
3	с тем	9	18
4	в этом	19	15
5	вместе с	22	15
6	точки зрения	4	13
7	как бы	10	12
8	в том	47	11
9	не только	32	10
10	из этих	10	10
11	и с	4	10
12	может быть	46	10
13	что в	30	9
14	так как	20	9
15	в области	3	9
16	связи с	6	9
17	но и	30	9
18	но не	8	8
19	с другой	8	8
20	и не	28	8
21	как на	6	8
22	но все	2	7
23	к нему	7	7
24	потому что	82	7
25	одной стороны	4	7
26	из них	11	7
27	то что	37	7
28	с одной	8	7
29	но в	8	7
30	том что	28	7
31	а с	4	7
32	все же	3	6
33	к тому	9	6
34	о том	7	6
35	мы должны	6	6
36	того же	5	6
37	в себе	26	6
38	несмотря на	2	6
39	всяком случае	3	6
40	что и	16	6
41	с точки	3	6
42	все это	4	6
43	и потому	9	6
44	так и	17	6
45	во всяком	4	6
46	никогда не	2	5
47	в мире	3	5
48	одной из	3	5
49	не имеет	10	5
50	более или	6	5
51	так же	6	5
52	и к	5	5
53	в силу	7	5
54	отношение к	2	5
55	того чтобы	5	5
56	лишь в	2	5
57	в его	6	5
58	крайней мере	8	5
59	для того	8	5
60	а не	22	5
61	по крайней	8	5
62	образом в	4	5
63	сих пор	4	5
64	до сих	4	5
65	или менее	6	5
66	и от	5	4
67	что все	5	4
68	далеко не	5	4
69	а в	14	4
70	с другими	9	4
71	в котором	7	4
72	в самом	11	4
73	в нем	16	4
74	не может	18	4
75	в смысле	4	4
76	и тогда	4	4
77	в которых	5	4
78	что оно	12	4
79	и вместе	6	4
80	то есть	53	4
81	целый ряд	2	4
82	в виде	3	4
83	то же	35	4
84	должен был	2	4
85	и что	13	4
86	и по	5	4
87	в этих	2	4
88	только в	29	4
89	что он	8	4
90	и только	5	4
91	он не	4	4
92	во время	4	4
93	в течение	2	4
94	в этой	3	4
95	в то	16	4
96	что это	6	3
97	на нее	2	3
98	в своем	6	3
99	так или	2	3
100	если в	2	3
101	к ним	3	3
102	точно так	15	3
103	и если	4	3
104	уже не	11	3
105	течением времени	2	3
106	хотя бы	3	3
107	к этому	3	3
108	в которой	9	3
109	тем не	7	3
110	и даже	3	3
111	и как	8	3
112	что эти	3	3
113	если бы	20	3
114	в других	3	3
115	при этом	6	3
116	с течением	3	3
117	не менее	9	3
118	как о	3	3
119	и при	5	3
120	с этой	2	3
121	в таком	6	3
122	так что	14	3
123	и о	6	3
124	можно сказать	4	3
125	отношению к	10	3
126	в одном	4	3
127	того что	24	3
128	для него	14	3
129	по своему	2	2
130	мы видели	5	2
131	одно из	6	2
132	сказать что	8	2
133	так например	3	2
134	от них	4	2
135	но вместе	5	2
136	о котором	2	2
137	в эту	4	2
138	и это	6	2
139	не могут	7	2
140	и проч	25	2
141	на то	6	2
142	или по	2	2
143	относится к	6	2
144	тех пор	5	2
145	можно только	3	2
146	бы например	2	2
147	в процессе	2	2
148	мы можем	13	2
149	в начале	3	2
150	связь с	4	2
151	по тому	7	2
152	ему в	2	2
153	между тем	19	2
154	не потому	2	2
155	одним из	3	2
156	к одной	4	2
157	еще только	2	2
158	только что	12	2
159	к его	2	2
160	в свою	6	2
161	когда человек	3	2
162	из себя	3	2
163	сознании и	4	2
164	большею частью	2	2
165	не как	3	2
166	не могла	2	2
167	должно было	2	2
168	именно в	5	2
169	конечно не	2	2
170	если не	6	2
171	с одним	3	2
172	тогда когда	20	2
173	именно из	2	2
174	в образе	4	2
175	но если	2	2
176	первое время	2	2
177	те же	6	2
178	что мы	16	2
179	в них	9	2
180	только не	5	2
181	и на	5	2
182	и здесь	3	2
183	уже в	10	2
184	еще не	9	2
185	мысль о	12	2
186	все что	4	2
187	этого последнего	4	2
188	то или	2	2
189	жизни и	3	2
190	в новом	2	2
191	что именно	5	2
192	не было	12	2
193	превращается в	3	2
194	к которым	2	2
195	человек должен	2	2
196	можно назвать	2	2
197	этом отношении	2	2
198	на пути	2	2
199	не в	24	2
200	из него	4	2
201	не всегда	5	2
202	только для	3	2
203	и наконец	3	2
204	ничего общего	2	2
205	ни было	2	2
206	перестает быть	5	2
207	в одно	8	2
208	ее с	2	2
209	на все	3	2
210	и все	5	2
211	же время	8	2
212	никем не	2	2
213	один из	7	2
214	заключает в	10	2
215	связано с	2	2
216	и после	2	2
217	том виде	2	2
218	них не	4	2
219	не к	4	2
220	людей и	2	2
221	прежде всего	6	2
222	признать что	2	2
223	его не	2	2
224	бы то	2	2
225	и из	2	2
226	тот же	2	2
227	не могло	3	2
228	в глазах	3	2
229	в разных	4	2
230	же самое	3	2
231	вслед за	6	2
232	и сами	2	2
233	тем и	5	2
234	не с	4	2
