N	2gram	Berdyaev_N	EvropaiE
1	и в	16	37
2	что в	9	21
3	не только	5	18
4	в то	2	16
5	хотя бы	2	15
6	но в	2	14
7	но и	3	14
8	и не	11	14
9	в этом	7	12
10	в том	8	11
11	так и	2	10
12	так же	2	9
13	в смысле	2	9
14	не может	16	9
15	в себе	2	9
16	прежде всего	4	9
17	одной стороны	2	8
18	в ее	3	8
19	думать что	2	8
20	в своей	3	8
21	с одной	2	8
22	к тому	3	8
23	по своему	4	7
24	с другой	3	7
25	как и	7	7
26	том что	2	6
27	во всех	3	6
28	и даже	2	6
29	может быть	7	6
30	и на	2	6
31	того чтобы	2	6
32	то что	4	6
33	но не	2	5
34	и потому	4	5
35	в россии	3	5
36	не в	6	5
37	же как	2	5
38	сказать что	3	4
39	вопрос о	3	4
40	не имеет	4	4
41	на путях	2	4
42	культуры в	5	4
43	хозяйственной жизни	2	4
44	мы не	2	4
45	в ней	5	4
46	как это	2	4
47	никогда не	6	3
48	с тем	3	3
49	и от	2	3
50	и для	4	3
51	о том	4	3
52	к ним	3	3
53	ли это	2	3
54	в будущем	2	3
55	можно было	2	3
56	этом смысле	2	3
57	мира и	2	3
58	и к	5	3
59	не будет	7	3
60	в них	4	3
61	место в	2	3
62	и мы	4	3
63	жизни в	3	3
64	потому что	4	3
65	как в	3	3
66	в прошлом	3	3
67	есть в	2	2
68	в мире	3	2
69	не есть	3	2
70	помнить что	2	2
71	она не	3	2
72	а в	2	2
73	с этим	2	2
74	в свои	2	2
75	и с	2	2
76	могут быть	2	2
77	другой стороны	2	2
78	что все	2	2
79	жизни и	8	2
80	войны и	2	2
81	как не	8	2
82	а не	17	2
83	и что	2	2
84	и революции	2	2
85	и все	4	2
86	наряду с	3	2
87	в истории	3	2
88	он не	8	2
89	как будто	2	2
90	такой же	2	2
91	на уровне	2	2
92	ведь и	2	2
93	не к	2	2
94	не означает	3	2
95	хотя и	2	2
96	и творчества	2	2
97	духовной жизни	2	2
98	должна быть	3	2
99	вместе с	2	2
100	культуры и	7	2
