N	2gram	Medvedev_U	KulturaY
1	и в	14	84
2	в том	2	74
3	не только	10	60
4	в этом	7	57
5	было бы	3	53
6	и не	8	52
7	может быть	6	47
8	том что	2	44
9	в самом	2	41
10	у нас	3	38
11	самом деле	2	37
12	хотя бы	5	37
13	в области	3	34
14	таким образом	2	33
15	а не	10	33
16	если бы	2	32
17	не в	2	30
18	прежде всего	8	30
19	в его	2	30
20	все же	3	29
21	не может	7	25
22	то что	7	25
23	с другой	4	24
24	то же	5	23
25	только в	2	23
26	но и	4	20
27	по себе	2	20
28	что он	2	19
29	но в	3	19
30	тем что	2	19
31	между тем	2	18
32	все это	5	18
33	и с	2	18
34	это не	3	17
35	как раз	2	17
36	другой стороны	3	17
37	ничего не	2	16
38	что и	2	16
39	но не	2	16
40	сих пор	2	14
41	что такое	4	14
42	до сих	2	14
43	не могут	2	13
44	по существу	2	13
45	крайней мере	2	13
46	что она	2	13
47	по крайней	2	13
48	не случайно	2	13
49	в этой	4	13
50	для этого	3	12
51	вопроса о	2	12
52	могут быть	2	12
53	в их	4	11
54	должна быть	2	11
55	этом отношении	2	11
56	и то	3	11
57	в то	3	10
58	как и	3	10
59	бы и	2	10
60	вряд ли	3	10
61	этом смысле	2	10
62	конечно не	4	10
63	очевидно что	3	9
64	что все	2	9
65	и для	2	9
66	в своей	3	9
67	но это	2	9
68	что мы	2	9
69	в частности	3	8
70	с его	2	8
71	не есть	2	8
72	смысле этого	2	7
73	не все	2	7
74	не следует	3	7
75	сводится к	2	7
76	в себе	2	6
77	пишет он	2	6
78	не столько	2	6
79	мы не	2	6
80	же время	3	6
81	могли бы	2	6
82	если не	2	6
83	приемов и	2	6
84	в конечном	4	5
85	в конце	2	5
86	и у	2	5
87	материал для	2	5
88	даже и	2	5
89	всех этих	2	5
90	не как	3	5
91	превращается в	2	5
92	нас в	2	5
93	и является	2	5
94	формы в	3	5
95	с проблемой	2	5
96	и только	5	5
97	не о	3	4
98	все они	2	4
99	о чем	2	4
100	этого термина	2	4
101	это уже	2	4
102	вот почему	7	4
103	конечном счете	4	4
104	формы и	2	4
105	пришлось бы	3	4
106	или иных	2	4
107	как таковой	2	4
108	этой области	3	4
109	мы и	2	4
110	на эту	2	3
111	в россии	4	3
112	противном случае	2	3
113	конце концов	2	3
114	а как	2	3
115	в искусстве	6	3
116	его и	2	3
117	в буквальном	2	3
118	не приходится	2	3
119	именно как	2	3
120	в сторону	2	3
121	меньшей степени	2	3
122	фактов и	2	3
123	сколько угодно	2	3
124	одним из	2	3
125	более чем	2	3
126	но даже	2	3
127	для него	3	3
128	тех или	2	3
129	мы получаем	2	3
130	в противном	2	3
131	то ни	3	3
132	в некоторых	2	3
133	в противовес	2	3
134	бы то	3	3
135	в системе	2	3
136	в широком	2	2
137	и через	2	2
138	к сожалению	3	2
139	же не	2	2
140	как такового	3	2
141	только к	3	2
142	это было	2	2
143	ни было	3	2
144	как принцип	2	2
145	литературы и	2	2
