N	2gram	Tiupa_Narr	Literetu
1	а не	12	50
2	и не	20	47
3	не только	32	46
4	и в	19	44
5	может быть	25	43
6	при этом	9	41
7	но и	23	41
8	тогда как	12	40
9	в том	18	39
10	в этом	17	38
11	своего рода	12	37
12	том что	14	32
13	в частности	14	30
14	такого рода	7	30
15	то что	11	29
16	в мире	9	28
17	в качестве	21	27
18	состоит в	13	26
19	то же	4	26
20	как и	7	23
21	в то	3	23
22	не в	14	22
23	так и	9	22
24	того что	2	22
25	себя в	5	22
26	не может	10	22
27	же время	4	21
28	в себе	8	20
29	и т.п	8	20
30	прежде всего	4	19
31	как бы	4	18
32	то есть	19	17
33	точки зрения	10	17
34	в его	9	17
35	с другой	8	17
36	в этой	5	16
37	тем самым	6	15
38	со стороны	9	15
39	не менее	3	15
40	только в	4	15
41	по отношению	7	14
42	что он	6	14
43	однако в	2	14
44	в рамках	12	14
45	и даже	3	14
46	коммуникативного события	12	14
47	в своем	2	13
48	как это	6	13
49	в тексте	16	13
50	с одной	7	13
51	но не	6	13
52	уже не	5	13
53	и его	5	13
54	всего лишь	2	12
55	к себе	5	12
56	в данном	5	12
57	а также	7	12
58	еще не	7	12
59	одним из	2	12
60	отношению к	6	12
61	о том	6	12
62	одной стороны	7	12
63	никогда не	3	11
64	данном случае	4	11
65	это не	2	11
66	коммуникативное событие	3	11
67	отличие от	5	11
68	с его	6	11
69	не столько	4	11
70	как в	7	11
71	в отличие	5	11
72	а в	11	11
73	или иначе	3	11
74	в конечном	3	11
75	столь же	3	11
76	в основе	5	11
77	даже в	2	10
78	этом отношении	3	10
79	в принципе	4	10
80	в области	2	10
81	что в	3	10
82	так или	2	10
83	отнюдь не	5	10
84	в ее	3	10
85	по мысли	3	10
86	конечном счете	2	10
87	жизни в	3	10
88	из них	3	10
89	и на	3	10
90	не случайно	2	10
91	жизни и	3	10
92	в противовес	4	10
93	одно из	2	9
94	к тому	7	9
95	один из	3	9
96	же в	4	9
97	связи с	4	9
98	и т.д	7	9
99	представляет собой	13	9
100	вплоть до	2	8
