N	2gram	Trubetskoy	OGranits
1	и в	24	13
2	и его	2	12
3	прежде всего	3	9
4	и не	9	8
5	не может	18	8
6	может быть	17	8
7	в его	5	7
8	и их	5	7
9	точки зрения	14	7
10	не только	10	6
11	мы должны	4	6
12	как бы	10	6
13	таким образом	34	6
14	только в	6	6
15	то что	18	6
16	и т.д	4	5
17	все же	15	5
18	с точки	8	5
19	и наконец	3	5
20	хотя бы	4	5
21	в процессе	2	5
22	мы можем	6	4
23	но в	5	4
24	лишь в	5	4
25	то же	4	4
26	в сознании	7	4
27	тех пор	2	4
28	все это	13	4
29	было бы	3	4
30	до тех	2	4
31	никогда не	4	3
32	и для	6	3
33	общего с	2	3
34	и то	4	3
35	и все	9	3
36	с этим	12	3
37	отношению к	11	3
38	и уже	2	3
39	как и	10	3
40	не в	9	3
41	в их	4	3
42	говорить о	2	3
43	ни один	4	3
44	ничего общего	3	3
45	так как	7	3
46	в себе	5	3
47	что в	9	3
48	по отношению	11	3
49	точку зрения	2	3
50	но для	2	3
51	самом деле	12	3
52	так и	10	3
53	что же	2	3
54	в которой	5	3
55	но и	11	3
56	в самом	8	2
57	конечно в	2	2
58	в этом	13	2
59	в них	2	2
60	для себя	2	2
61	данном случае	3	2
62	в том	31	2
63	несмотря на	6	2
64	в целом	5	2
65	если бы	8	2
66	с одной	3	2
67	не имеет	2	2
68	зависимости от	2	2
69	но так	2	2
70	с другой	6	2
71	а в	3	2
72	том что	20	2
73	и к	5	2
74	в связи	3	2
75	в данном	3	2
76	в общем	6	2
77	не менее	7	2
78	с ними	2	2
79	все эти	19	2
80	в области	4	2
81	что эта	4	2
82	так же	8	2
83	что они	2	2
84	мы уже	4	2
85	те же	2	2
86	и истории	5	2
87	и при	6	2
88	с этой	3	2
89	и может	3	2
90	в своих	2	2
91	в нем	3	2
92	в тех	3	2
93	при этом	9	2
94	и ее	2	2
95	между собою	5	2
96	во всей	2	2
97	в ней	3	2
98	в течение	4	2
99	другой стороны	5	2
100	во всем	3	2
101	одной стороны	2	2
102	бы в	3	2
103	между тем	12	2
104	имеет место	2	2
105	тот же	3	2
106	в другом	2	2
107	вовсе не	2	2
108	к тому	8	2
109	для него	2	2
