N	2gram	Vinokur_Ku	Tragedij
1	и в	44	18
2	в году	3	9
3	в этом	31	9
4	не только	29	8
5	и не	23	7
6	и на	8	7
7	как бы	11	7
8	и с	11	7
9	может быть	25	7
10	же время	4	6
11	что он	7	6
12	но в	11	6
13	и его	8	6
14	у него	3	6
15	несмотря на	6	5
16	у достоевского	2	5
17	что это	11	5
18	к жизни	2	5
19	все же	17	5
20	это не	13	5
21	то же	12	5
22	как и	3	5
23	так и	10	5
24	не может	13	5
25	в то	4	5
26	что в	25	4
27	еще не	10	4
28	в целом	5	4
29	но и	13	4
30	прежде всего	14	4
31	об этом	4	4
32	том что	30	4
33	в этой	8	4
34	и что	11	4
35	так же	8	4
36	и все	4	4
37	все это	10	4
38	в нем	7	4
39	что я	4	4
40	то что	14	4
41	но это	4	4
42	я не	5	4
43	и даже	5	4
44	в себе	4	4
45	один из	8	3
46	что за	3	3
47	своего рода	4	3
48	и как	3	3
49	уже в	5	3
50	тем самым	5	3
51	в своем	4	3
52	при этом	6	3
53	в его	16	3
54	что с	2	3
55	все эти	17	3
56	и он	4	3
57	отнюдь не	5	3
58	о чем	2	3
59	как будто	2	3
60	должно быть	6	3
61	как в	6	3
62	как это	6	3
63	для него	2	3
64	в конце	5	3
65	с ним	5	3
66	никогда не	2	2
67	в самом	20	2
68	и то	7	2
69	но все	5	2
70	данном случае	2	2
71	по поводу	2	2
72	до конца	3	2
73	с тем	5	2
74	точно так	4	2
75	тем что	9	2
76	перед нами	4	2
77	первого же	2	2
78	вопрос о	11	2
79	в одном	4	2
80	в русском	14	2
81	не имеет	6	2
82	ничего не	6	2
83	то и	4	2
84	в силах	2	2
85	нет в	2	2
86	в данном	8	2
87	не могут	5	2
88	в ее	2	2
89	что все	6	2
90	вряд ли	5	2
91	к тому	8	2
92	о том	10	2
93	да здравствует	5	2
94	что и	5	2
95	ни в	3	2
96	не в	18	2
97	столь же	2	2
98	и здесь	8	2
99	потому что	40	2
100	вместе со	2	2
101	было в	2	2
102	что этот	2	2
103	не просто	7	2
104	в частности	6	2
105	только о	3	2
106	как у	2	2
107	в таком	3	2
108	еще раз	2	2
109	так что	5	2
110	он не	4	2
111	под влиянием	3	2
112	в первом	3	2
113	бы и	6	2
114	уже не	13	2
115	только к	2	2
116	что она	5	2
117	что эти	4	2
118	и это	3	2
119	если б	2	2
120	не так	2	2
121	отличие от	3	2
122	в том	47	2
123	с первого	2	2
124	не случайно	7	2
125	в отличие	3	2
126	не был	2	2
127	не мог	2	2
128	с его	4	2
129	в это	3	2
130	отношение к	2	2
