N	3gram	Losev_Prob	VLabPisa
1	и т д	20	16
2	с другой стороны	11	8
3	не может быть	5	8
4	более или менее	2	6
5	в то же	10	5
6	в том что	17	5
7	в зависимости от	3	5
8	хотя бы и	2	5
9	не было бы	3	4
10	можно сказать что	2	4
11	в связи с	9	4
12	равно как и	2	4
13	подобно тому как	2	3
14	для того чтобы	4	3
15	и в то	2	3
16	о том как	4	3
17	о том что	8	3
18	та или иная	4	3
19	это и есть	3	3
20	в значительной мере	2	3
21	по крайней мере	9	2
22	в конце концов	4	2
23	с одной стороны	2	2
24	не только не	5	2
25	во всяком случае	8	2
26	только то что	4	2
27	уже по одному	2	2
28	этой точки зрения	2	2
29	в чем же	2	2
30	не только в	2	2
31	до сих пор	4	2
32	только в том	2	2
33	иметь в виду	2	2
34	можно было бы	6	2
