N	2gram	Potebnia_M	Sotsiolo
1	все это	4	7
2	в том	47	5
3	в этом	19	5
4	более чем	2	3
5	для нас	40	3
6	не только	32	3
7	и только	5	3
8	в его	6	3
9	не в	24	3
10	и в	48	3
11	это и	2	2
12	должна быть	2	2
13	отношению к	10	2
14	по отношению	12	2
15	еще не	9	2
16	только в	29	2
17	что в	30	2
18	тем более	9	2
19	это зависит	2	2
20	том что	28	2
21	было бы	16	2
22	таким образом	24	2
23	в смысле	4	2
24	то же	35	2
25	только как	9	2
26	и что	13	2
27	нужно было	2	2
28	то что	37	2
29	как бы	10	2
30	но и	30	2
31	очевидно что	9	2
32	за пределы	2	2
33	и мы	3	2
34	далеко не	5	2
35	может быть	46	2
