N	3gram	Potebnia_M	VerxiiNi
1	с одной стороны	6	7
2	с точки зрения	3	6
3	во всяком случае	7	6
4	для того чтобы	4	5
5	по крайней мере	6	5
6	до сих пор	5	5
7	более или менее	6	5
8	но все же	2	4
9	тем не менее	10	3
10	в том что	18	3
11	в связи с	2	3
12	а так как	3	3
13	и в этом	7	2
14	бы то ни	2	2
15	на то что	3	2
16	но и для	2	2
17	заключает в себе	6	2
18	таким образом в	3	2
19	в то же	3	2
20	и потому что	2	2
21	то же время	3	2
22	не только для	2	2
23	с самого начала	5	2
24	друг на друга	2	2
25	с этой точки	2	2
