N	3gram	Bakhtin_Fr	Stilisti
1	в то же	13	9
2	то же время	13	7
3	для того чтобы	5	7
4	с точки зрения	4	5
5	одной и той	2	4
6	той или иной	2	4
7	и той же	2	4
8	в свою очередь	2	4
9	в конце концов	3	3
10	как мы уже	8	3
11	на самом деле	5	3
12	в той же	5	3
13	не только в	3	3
14	но все же	2	3
15	но и в	4	3
16	как мы видели	4	3
17	тех или иных	2	3
18	все то что	2	2
19	в связи с	5	2
20	в этом отношении	4	2
21	в значительной степени	2	2
22	можно сказать что	2	2
23	и в то	2	2
24	по отношению к	2	2
25	смысле этого слова	2	2
26	но в то	7	2
27	о том что	3	2
28	мы видим что	2	2
29	не может быть	2	2
