N	2gram	Propp_Isto	Literetu
1	а не	5	50
2	и не	19	47
3	не только	17	46
4	и в	44	44
5	может быть	31	43
6	при этом	4	41
7	но и	16	41
8	в том	13	39
9	в этом	20	38
10	том что	12	32
11	в частности	9	30
12	такого рода	2	30
13	то что	16	29
14	в качестве	13	27
15	то же	9	26
16	как и	12	23
17	в то	5	23
18	не в	11	22
19	так и	9	22
20	того что	3	22
21	себя в	6	22
22	не может	10	22
23	прежде всего	7	19
24	как бы	4	18
25	точки зрения	3	17
26	в его	16	17
27	с другой	11	17
28	в этой	5	16
29	тем самым	2	15
30	со стороны	6	15
31	не менее	6	15
32	в целом	4	15
33	в русской	8	15
34	только в	8	15
35	по отношению	2	14
36	что он	29	14
37	однако в	2	14
38	и даже	4	14
39	в своем	3	13
40	как это	5	13
41	с одной	7	13
42	но не	8	13
43	уже не	14	13
44	и его	15	13
45	к себе	3	12
46	в данном	3	12
47	в своей	3	12
48	а также	5	12
49	еще не	16	12
50	одним из	4	12
51	отношению к	2	12
52	о том	11	12
53	одной стороны	7	12
54	никогда не	5	11
55	данном случае	2	11
56	это не	8	11
57	в другом	2	11
58	еще в	2	11
59	с его	3	11
60	и сам	2	11
61	как в	11	11
62	а в	9	11
63	в основе	3	11
64	вместе с	26	11
65	даже в	4	10
66	что в	18	10
67	в ее	4	10
68	из них	4	10
69	и на	11	10
70	потому что	18	10
71	жизни и	4	10
72	одно из	3	9
73	один из	6	9
74	же в	3	9
75	связи с	10	9
76	лишь в	2	9
77	с этой	4	9
78	на смену	4	9
79	представляет собой	8	9
80	одна из	6	8
81	все же	17	8
82	по существу	2	8
83	но в	7	8
84	того же	3	8
85	уже в	4	8
86	на себя	4	8
87	что не	3	8
88	для него	2	8
89	и как	5	8
90	а именно	8	8
91	тем что	12	8
92	в своих	4	8
93	той же	2	8
94	не как	5	7
95	друг друга	5	7
96	и тем	7	7
97	и других	5	7
98	на свою	2	7
99	так в	5	7
100	для этого	3	7
101	другой стороны	10	7
102	и для	3	7
103	как правило	2	7
104	человека в	5	7
105	и с	8	7
106	в одном	2	7
107	тому как	2	7
108	в нем	10	7
109	он не	5	7
110	еще и	2	6
111	его в	17	6
112	самом деле	2	6
113	одного из	3	6
114	и он	9	6
115	и др	6	6
116	а затем	7	6
117	было бы	2	6
118	не было	2	6
119	например в	11	6
120	и то	5	6
121	право на	2	6
122	то в	2	6
123	во всех	3	6
124	с миром	2	6
125	и наконец	2	6
126	подобно тому	2	6
127	в ней	8	6
128	том числе	3	6
129	у него	7	6
130	как на	3	6
131	как будто	2	6
132	с собой	6	5
133	так как	19	5
134	от себя	2	5
135	как он	6	5
136	так что	2	5
137	к этой	3	5
138	несмотря на	3	5
139	этой точки	2	5
140	что и	11	5
141	в связи	6	5
142	обращается к	2	5
143	все еще	6	5
144	хотя бы	2	5
145	мы не	6	5
146	тем не	6	5
147	в силу	7	5
148	как у	2	5
149	том чтобы	3	5
150	но уже	5	5
151	в себя	3	5
152	и к	3	5
153	входит в	5	4
154	в свою	3	4
155	очевидно что	3	4
156	себе и	2	4
157	для нас	6	4
158	за собой	5	4
159	не всегда	9	4
160	здесь как	3	4
161	к своему	2	4
162	только на	2	4
163	в формах	2	4
164	с тем	9	4
165	и все	4	4
