N	2gram	Nazirov_Vr	Sovremen
1	не может	2	17
2	точки зрения	2	12
3	может быть	4	12
4	таким образом	2	11
5	и в	8	7
6	в этом	8	7
7	и не	5	6
8	как и	6	6
9	с точки	2	5
10	это не	4	4
11	не только	9	4
12	в том	3	4
13	как бы	4	4
14	их в	2	4
15	вместе с	2	4
16	а в	2	4
17	из них	2	4
18	для нас	4	3
19	но в	6	3
20	при этом	4	3
21	все же	6	3
22	уже в	4	3
23	в себе	2	3
24	еще не	2	3
25	одна из	2	3
26	и все	7	3
27	все это	4	3
28	в нем	6	3
29	в этой	2	3
30	то же	5	3
31	отнюдь не	2	3
32	в конце	3	3
33	не менее	2	2
34	в его	3	2
35	и что	8	2
36	и во	3	2
37	что в	7	2
38	у него	5	2
39	уже не	2	2
40	в свою	2	2
41	по мнению	2	2
42	мы знаем	2	2
43	и даже	6	2
