N	2gram	Medvedev_U	KFilosof
1	может быть	6	45
2	в его	2	42
3	не может	7	29
4	и не	8	28
5	и в	14	28
6	не есть	2	22
7	в себе	2	21
8	только в	2	18
9	а не	10	17
10	в этом	7	15
11	не в	2	13
12	для него	3	13
13	но не	2	12
14	в своей	3	11
15	это не	3	10
16	и для	2	10
17	все это	5	10
18	в их	4	9
19	но и	4	9
20	если бы	2	8
21	было бы	3	8
22	то что	7	7
23	конечно не	4	7
24	и только	5	7
25	что и	2	7
26	в том	2	6
27	но это	2	6
28	все же	3	5
29	не только	10	5
30	хотя бы	5	5
31	то же	5	5
32	но в	3	5
33	как и	3	5
34	том что	2	4
35	не как	3	4
36	и т.д	3	4
37	ни было	3	4
38	прежде всего	8	4
39	должна быть	2	4
40	между тем	2	4
41	ничего не	2	3
42	в то	3	3
43	всех этих	2	3
44	тем что	2	3
45	самом деле	2	3
46	могут быть	2	3
47	этом смысле	2	3
48	мы не	2	3
49	но конечно	2	3
50	бы и	2	3
51	не о	3	2
52	и то	3	2
53	для этого	3	2
54	то ни	3	2
55	это было	2	2
56	а как	2	2
57	все они	2	2
58	в области	3	2
59	что он	2	2
60	его и	2	2
61	это уже	2	2
62	если не	2	2
63	по себе	2	2
64	сводится к	2	2
65	не следует	3	2
66	же время	3	2
67	в этой	4	2
68	бы то	3	2
69	с его	2	2
