N	3gram	Vygotskiy_	EvropaiE
1	с точки зрения	12	16
2	с одной стороны	10	8
3	одной стороны и	2	6
4	в том что	33	6
5	этой точки зрения	7	5
6	для того чтобы	20	5
7	с этой точки	7	5
8	так же как	9	5
9	само по себе	2	4
10	в известном смысле	7	3
11	во всяком случае	2	3
12	же как и	2	3
13	в этом отношении	7	3
14	можно сказать что	7	3
15	в этом смысле	5	3
16	можно было бы	8	3
17	друг с другом	10	3
18	из того что	4	2
19	приводит нас к	3	2
20	в данном случае	3	2
21	хотя бы в	2	2
22	к тому чтобы	4	2
23	с другой стороны	8	2
24	только в том	2	2
25	друг от друга	5	2
26	на то что	5	2
27	и в частности	3	2
28	как мы видели	4	2
29	заключается в том	12	2
30	в свою очередь	4	2
31	по сравнению с	9	2
32	не может быть	4	2
