N	3gram	Bakhtin_KF	Myslijsy
1	в том что	2	47
2	по отношению к	22	26
3	не может быть	11	19
4	тем не менее	2	18
5	то же время	2	13
6	в то же	2	13
7	и в этом	3	12
8	то что я	2	10
9	на самом деле	3	8
10	с точки зрения	10	7
11	в этом смысле	3	7
12	не было бы	3	6
13	может быть только	7	6
14	и может быть	2	6
15	между тем как	3	5
16	и тот же	3	4
17	вопрос о том	2	4
18	один и тот	3	4
19	бы то ни	2	3
20	а не в	2	3
21	одна и та	2	2
22	а не из	2	2
23	и та же	2	2
24	то ни было	2	2
25	мы говорим о	2	2
26	в целом и	2	2
