N	3gram	Losev_Dial	DiskursI
1	в том что	12	28
2	с одной стороны	3	14
3	не может быть	12	12
4	в данном случае	3	12
5	той или иной	2	10
6	то же время	3	10
7	о том что	6	9
8	в то же	3	8
9	в этом отношении	2	8
10	как и в	3	7
11	по крайней мере	10	6
12	с точки зрения	25	6
13	к тому же	2	6
14	и как бы	2	5
15	подобно тому как	5	5
16	с другой стороны	3	5
17	и прежде всего	6	4
18	тем не менее	10	4
19	тот или иной	2	4
20	не в том	5	4
21	одно и то	2	3
22	и то же	2	3
23	и в частности	2	3
24	содержит в себе	2	3
25	в себе не	2	3
26	говоря уже о	6	3
27	во всяком случае	3	3
28	того или иного	3	3
29	не говоря уже	6	3
30	бы то ни	2	2
31	он не может	3	2
32	а не только	2	2
33	сами по себе	3	2
34	и той же	4	2
35	и не только	5	2
36	одних и тех	2	2
37	и тех же	2	2
38	одной и той	4	2
39	и в то	2	2
40	как и все	5	2
