N	3gram	Vygotskiy_	DiskursI
1	в том что	30	28
2	в отличие от	3	26
3	по отношению к	11	17
4	с одной стороны	14	14
5	не может быть	8	12
6	в данном случае	5	12
7	той или иной	2	10
8	то же время	2	10
9	о том что	10	9
10	в то же	2	8
11	в этом отношении	6	8
12	состоит в том	4	8
13	как и в	2	7
14	с точки зрения	34	6
15	в конечном счете	4	6
16	то же самое	4	5
17	одной стороны и	3	5
18	подобно тому как	2	5
19	в значительной степени	2	5
20	по своей природе	3	5
21	с другой стороны	10	5
22	в первую очередь	3	5
23	дело в том	2	5
24	в свою очередь	3	5
25	и мн др	2	4
26	а с другой	6	4
27	можно сказать что	5	4
28	одно и то	2	3
29	и то же	2	3
30	и в частности	3	3
31	том что в	3	3
32	в том числе	3	3
33	том числе и	3	3
34	во всяком случае	5	3
35	прежде всего в	2	2
36	на том что	2	2
37	речь идет о	4	2
38	и той же	2	2
39	с самого начала	9	2
40	в целом и	6	2
41	одной и той	2	2
42	только то что	2	2
43	как и все	2	2
44	в одном из	2	2
45	в том чтобы	6	2
