N	2gram	Tiupa_Narr	NovoeSre
1	а не	12	17
2	и в	19	16
3	не может	10	16
4	нового времени	2	12
5	и не	20	11
6	и есть	2	10
7	истории и	2	9
8	что в	3	9
9	жизни и	3	8
10	в том	18	8
11	он не	3	8
12	не будет	3	7
13	может быть	25	7
14	как и	7	7
15	в этом	17	7
16	никогда не	3	6
17	ни в	3	6
18	не в	14	6
19	с его	6	6
20	не только	32	5
21	в нем	4	5
22	с ее	3	5
23	в ней	3	5
24	истории в	3	5
25	и для	2	4
26	не имеет	2	4
27	прежде всего	4	4
28	не менее	3	4
29	не было	2	4
30	и потому	2	4
31	то что	11	4
32	о том	6	4
33	это не	2	4
34	и все	2	4
35	быть может	2	4
36	в мире	9	3
37	тому как	2	3
38	в прошлом	3	3
39	но и	23	3
40	подобно тому	2	3
41	с другой	8	3
42	в ее	3	3
43	она не	2	3
44	к тому	7	3
45	жизни в	3	3
46	еще не	7	3
47	должна быть	2	3
48	как в	7	3
49	не есть	3	3
50	сказать что	4	3
51	не существует	3	3
52	наряду с	2	3
53	в основе	5	3
54	зависит от	2	2
55	в себе	8	2
56	как будто	3	2
57	и с	4	2
58	одна из	3	2
59	себя в	5	2
60	но не	6	2
61	нет и	2	2
62	и т.п	8	2
63	роль в	2	2
64	хотя бы	4	2
65	когда мы	2	2
66	же как	3	2
67	а в	11	2
68	но в	6	2
69	том что	14	2
70	и на	3	2
71	бытия в	3	2
72	есть в	2	2
73	все эти	2	2
74	в будущем	2	2
75	на протяжении	6	2
76	можно было	2	2
77	это и	3	2
78	времени в	2	2
79	мира и	2	2
80	у него	4	2
81	времени и	7	2
82	уже не	5	2
83	по существу	2	2
84	как это	6	2
85	другой стороны	4	2
86	так же	2	2
87	так и	9	2
88	такого рода	7	2
89	могут быть	3	2
90	жизни как	3	2
91	одной стороны	7	2
92	в то	3	2
93	который в	2	2
94	к содержанию	3	2
95	хотя и	3	2
96	с одной	7	2
97	и даже	3	2
98	более не	2	2
