N	2gram	Voloshinov	DiskursI
1	в качестве	2	72
2	а не	9	60
3	может быть	28	56
4	не только	10	49
5	и в	28	49
6	как и	13	47
7	при этом	8	46
8	в том	10	44
9	и не	34	44
10	представляет собой	2	41
11	том что	12	40
12	в этом	28	38
13	в себе	7	37
14	но и	10	35
15	и т.п	4	32
16	но не	7	31
17	со стороны	5	28
18	так и	14	28
19	отличие от	2	28
20	но в	13	28
21	не может	30	27
22	в отличие	2	27
23	как в	4	25
24	такого рода	2	24
25	еще не	8	23
26	отнюдь не	5	23
27	а также	2	20
28	все же	8	19
29	прежде всего	26	19
30	в нем	7	19
31	в своей	14	19
32	в основе	6	18
33	далеко не	5	18
34	по отношению	13	17
35	в данном	4	17
36	то же	12	17
37	с другой	2	17
38	отношению к	11	17
39	в мире	2	17
40	точки зрения	31	16
41	только в	11	16
42	роль в	7	15
43	в его	25	15
44	то что	17	15
45	о том	3	15
46	это не	5	14
47	или иной	2	14
48	не в	10	14
49	не менее	6	14
50	одной стороны	2	14
51	можно сказать	6	14
52	не является	7	14
53	с одной	2	14
54	в целом	4	13
55	для него	12	13
56	как бы	19	13
57	данном случае	4	12
58	в своем	4	12
59	и все	13	12
60	того же	3	12
61	в своих	5	12
62	и на	9	12
63	что в	7	11
64	с его	9	11
65	и как	3	11
66	не было	5	11
67	для себя	2	10
68	а в	8	10
69	а с	2	10
70	также и	2	10
71	же время	6	10
72	в то	7	9
73	между тем	3	9
74	в них	3	9
75	уже не	9	9
76	себя в	3	9
77	сводится к	4	9
78	человека в	4	8
79	этом отношении	4	8
80	и о	6	8
81	к тому	6	8
82	потому что	4	8
83	и даже	3	8
84	жизни в	3	8
85	в этих	5	8
86	в себя	5	8
87	в котором	4	8
88	в одном	3	8
89	из них	7	8
90	он не	10	8
91	не следует	2	8
92	его в	11	7
93	могут быть	9	7
94	и ее	7	7
95	приводит к	3	7
96	и для	7	7
97	но это	4	7
98	в процессе	5	7
99	что и	5	7
100	в этой	7	7
101	к этому	9	7
102	в составе	2	7
103	мира в	2	7
104	в пределах	6	7
105	ни в	12	7
106	той же	5	7
107	и его	22	7
108	таким образом	34	7
109	никогда не	10	6
110	к его	3	6
111	в одной	2	6
112	не как	2	6
113	отношение к	7	6
114	что он	12	6
115	не знает	5	6
116	одно из	6	6
117	именно в	4	6
118	что же	10	6
119	и может	4	6
120	в истории	4	6
121	в ее	5	6
122	и то	3	6
123	одна из	4	6
124	в эпоху	3	6
125	то в	2	6
126	дело в	2	6
127	во всех	13	6
128	конечном счете	3	6
129	сказать и	3	6
130	в конечном	3	6
131	с точки	15	6
132	в период	5	6
133	ничего не	5	5
134	к себе	3	5
135	в другом	4	5
136	в виду	4	5
137	в их	2	5
138	не всегда	4	5
139	свою очередь	4	5
140	и потому	12	5
141	того что	7	5
142	о нем	2	5
143	в прошлом	2	5
144	для своего	2	5
145	во втором	3	5
146	же касается	3	5
147	один из	10	5
148	здесь в	6	5
149	сказать что	11	5
150	из этих	6	5
151	так сказать	7	5
152	за пределы	10	5
153	с ее	4	5
154	во второй	5	5
155	я и	7	5
156	на протяжении	7	5
157	в свою	6	5
158	внутренней речи	5	5
159	оно не	3	5
160	зрения на	6	5
161	на этом	8	5
162	как раз	6	5
163	говорить о	5	5
164	же самое	2	5
165	не к	2	5
166	в ней	8	5
167	до конца	7	4
168	не могут	7	4
169	из того	2	4
170	а на	2	4
171	и прежде	7	4
172	и тем	2	4
173	и др	9	4
174	по своему	4	4
175	как это	5	4
176	более того	7	4
177	только на	4	4
178	между двумя	3	4
179	и до	5	4
180	и во	2	4
181	в первом	2	4
182	должны быть	4	4
183	во всяком	9	4
184	во внешнем	12	4
185	принципиально не	2	4
186	особого рода	2	4
