N	2gram	Ircho_Kome	Russkaja
1	не может	3	22
2	и не	19	19
3	в том	19	17
4	в этом	9	17
5	и в	40	14
6	то что	8	13
7	точки зрения	7	11
8	то же	7	11
9	таким образом	13	11
10	в то	14	10
11	но и	14	10
12	же время	5	10
13	не только	12	9
14	том что	19	9
15	может быть	16	9
16	в себе	3	9
17	во всяком	4	9
18	того чтобы	4	8
19	как на	2	8
20	прежде всего	8	8
21	и с	8	7
22	к тому	15	7
23	о том	12	7
24	и если	2	7
25	отнюдь не	2	7
26	с тем	5	6
27	если в	3	6
28	и для	4	6
29	для всех	5	6
30	в своих	2	6
31	и к	2	6
32	если бы	4	6
33	всяком случае	4	6
34	все это	7	6
35	для того	3	6
36	что он	11	6
37	в своем	6	6
38	вопрос о	5	5
39	а в	9	5
40	на то	3	5
41	в последние	2	5
42	было бы	8	5
43	хотя бы	2	5
44	из которых	5	5
45	и на	9	5
46	потому что	8	5
47	при этом	5	5
48	в нем	8	5
49	в своей	3	5
50	только в	6	5
51	он не	5	5
52	сих пор	3	5
53	между тем	9	5
54	во всех	4	5
55	до сих	3	5
56	что в	12	4
57	но не	3	4
58	его в	6	4
59	все же	7	4
60	себя в	2	4
61	не в	8	4
62	как и	12	4
63	ли это	2	4
64	в мире	3	4
65	как бы	3	4
66	все что	3	4
67	можно было	5	4
68	путь к	2	4
69	так как	6	4
70	что же	2	4
71	которой он	2	4
72	жизни и	4	4
73	в его	8	4
74	со стороны	3	4
75	в их	6	4
76	то ни	4	4
77	отказаться от	2	4
78	в этой	9	4
79	вместе с	8	4
80	от того	3	4
81	бы то	4	4
82	или менее	2	4
83	одной из	6	3
84	да и	5	3
85	одна из	4	3
86	то это	3	3
87	для этого	2	3
88	в большинстве	2	3
89	что это	5	3
90	о которых	6	3
91	в сознании	4	3
92	именно в	5	3
93	из этих	5	3
94	ни одна	2	3
95	в другом	5	3
96	главным образом	4	3
97	в конце	7	3
98	из них	16	3
99	но если	4	3
100	в самом	5	3
101	и как	3	3
102	несмотря на	5	3
103	для них	2	3
104	что и	10	3
105	конце концов	4	3
106	или в	5	3
107	из этого	2	3
108	и во	4	3
109	говорить о	3	3
110	и по	6	3
111	связи с	3	3
112	еще не	7	3
113	в виде	3	3
114	в качестве	8	3
115	что они	4	3
116	друг друга	2	3
117	собой и	2	3
118	и т	11	3
119	тем что	5	3
120	и о	3	2
121	в течение	5	2
122	даже если	3	2
123	и от	2	2
124	не к	2	2
125	с этим	5	2
126	большинстве случаев	2	2
127	ее в	2	2
128	для себя	2	2
129	тому что	4	2
130	к нему	5	2
131	указывает на	2	2
132	из всех	2	2
133	но в	6	2
134	европейской культуры	2	2
135	ни в	9	2
136	в котором	6	2
137	так же	4	2
138	на себя	5	2
139	в начале	7	2
140	от друга	2	2
141	больше чем	5	2
142	в ней	2	2
143	на это	3	2
144	в результате	5	2
145	по отношению	5	2
146	даже не	4	2
147	их к	3	2
148	в силу	4	2
149	и даже	5	2
150	одному из	2	2
151	представить себе	3	2
152	по себе	2	2
153	в порядке	2	2
154	мы можем	6	2
155	целый ряд	2	2
156	речь идет	6	2
157	место в	7	2
158	в положение	3	2
159	если они	3	2
160	в других	3	2
161	и тем	2	2
162	и вот	4	2
163	и что	2	2
164	но это	2	2
165	общественной жизни	2	2
166	является не	2	2
167	в этих	5	2
168	друг от	2	2
169	только на	2	2
170	в частности	7	2
171	так что	6	2
172	во время	11	2
173	у других	4	2
174	как будто	3	2
175	друг другу	2	2
176	время когда	2	2
177	на основании	7	2
178	именно на	2	2
179	в области	3	2
180	за то	4	2
181	у него	6	2
182	видеть в	2	2
183	и более	2	2
184	участие в	4	2
185	ясно что	9	2
