N	2gram	Propp_Russ	Myslijsy
1	потому что	15	182
2	то есть	3	142
3	и в	59	121
4	может быть	14	107
5	в том	33	103
6	то что	10	83
7	для нас	12	75
8	что в	35	73
9	и не	6	73
10	только в	4	72
11	не только	28	67
12	а не	3	67
13	таким образом	10	64
14	том что	33	59
15	так как	25	59
16	в этом	18	59
17	но и	20	59
18	то же	6	56
19	не в	2	54
20	не может	6	52
21	того что	6	47
22	в нем	3	45
23	было бы	3	45
24	как и	19	42
25	так что	4	39
26	вместе с	16	39
27	мы не	11	38
28	что и	8	38
29	так и	8	37
30	при этом	11	37
31	как в	10	37
32	тогда когда	4	36
33	тем что	7	33
34	и что	8	32
35	а в	16	30
36	но не	7	29
37	между тем	9	29
38	мы можем	2	28
39	могут быть	3	27
40	с этим	4	27
41	и т	13	26
42	то и	4	26
43	не было	3	26
44	независимо от	3	26
45	этого слова	3	25
46	в то	3	24
47	с тем	14	23
48	того как	6	23
49	как бы	18	23
50	только тогда	3	22
51	но в	5	22
52	не имеет	9	22
53	и потому	3	21
54	не менее	3	21
55	в ней	3	20
56	в одном	4	20
57	это не	14	20
58	и как	2	19
59	с ним	2	19
60	и то	2	19
61	что это	4	19
62	из этих	6	19
63	но это	5	19
64	должно быть	2	19
65	тем не	3	19
66	о том	14	19
67	очевидно что	2	18
68	для того	6	18
69	еще не	7	18
70	там же	15	18
71	тогда как	4	18
72	в таком	5	18
73	заметить что	3	17
74	в его	3	17
75	точки зрения	3	17
76	не можем	5	17
77	уже в	2	17
78	слова в	3	17
79	в своем	3	16
80	к тому	4	16
81	в которой	3	16
82	так же	7	16
83	или же	2	16
84	в них	10	16
85	что если	2	16
86	на то	2	16
87	и на	14	16
88	и по	10	15
89	т д	12	15
90	в этих	3	15
91	думать что	3	15
92	тому как	3	15
93	что он	2	15
94	прежде всего	2	15
95	только как	2	15
96	с другими	3	15
97	в свою	3	15
98	уже не	9	15
99	мы должны	3	14
100	свою очередь	2	14
101	связи с	6	14
102	там где	3	14
103	в природе	2	14
104	в котором	2	14
105	в одно	2	14
106	все же	7	14
107	когда мы	2	14
108	во всех	6	14
109	что все	2	13
110	и все	4	13
111	образом в	2	13
112	например в	3	13
113	из них	12	13
114	и его	2	13
115	как на	2	13
116	друг друга	3	12
117	и при	2	12
118	одно из	6	12
119	что на	5	12
120	все это	12	12
121	как мы	11	12
122	есть в	2	12
123	оно не	2	12
124	хотя и	3	12
125	в каждом	2	12
126	в силу	2	11
127	того чтобы	6	11
128	только на	4	11
129	только для	3	11
130	что для	4	11
131	все что	2	11
132	и их	4	11
133	его в	9	11
134	народной поэзии	3	11
135	мы видели	3	11
136	к нему	3	11
137	же в	5	11
138	к ней	4	11
139	подобно тому	3	11
140	и это	2	11
141	и следовательно	2	10
142	а и	7	10
143	между прочим	2	10
144	но тем	2	10
145	и для	3	10
146	в других	24	10
147	тем и	4	10
148	тому что	4	10
149	так в	5	10
150	находится в	3	10
151	мы видим	2	10
152	и от	2	10
153	только по	2	10
154	и с	12	10
155	то время	3	10
156	что при	2	10
157	вопрос о	4	9
158	и других	9	9
159	разница между	2	9
160	но вместе	3	9
161	до того	3	9
162	во многих	14	9
163	не все	4	9
164	и о	4	9
165	далеко не	5	9
166	с точки	3	9
167	связь между	2	9
168	один из	10	9
169	в целом	2	9
170	во время	23	9
171	что она	4	9
172	с в	12	9
173	таким же	4	9
174	на самом	3	8
175	так например	7	8
176	в более	2	8
177	такое же	2	8
178	тот же	2	8
179	что они	8	8
180	и более	3	8
181	но все	3	8
182	их в	7	8
183	именно в	3	8
184	в которых	8	8
185	во всем	2	8
186	влияние на	3	8
187	от них	4	8
188	на все	3	8
189	с ними	6	8
190	этом случае	9	8
191	которые не	3	8
192	по его	2	8
