N	2gram	Vygotskiy_	Otkroven
1	у него	8	22
2	и в	33	19
3	но и	14	13
4	и не	18	13
5	в этом	43	12
6	не только	28	11
7	не в	10	11
8	а не	14	11
9	может быть	15	11
10	и все	2	10
11	в нем	10	10
12	вопрос о	15	10
13	никогда не	10	9
14	потому что	40	9
15	прежде всего	5	9
16	и он	3	8
17	в его	15	7
18	до конца	3	7
19	от него	3	7
20	он не	13	7
21	но он	8	7
22	как и	13	6
23	все это	2	6
24	для него	9	5
25	а в	5	5
26	в том	44	5
27	человеку и	2	5
28	в самом	10	5
29	то что	48	5
30	в этой	8	5
31	до самого	2	5
32	отношение к	12	5
33	его мысли	3	4
34	и его	6	4
35	что в	33	4
36	он сам	2	4
37	того чтобы	26	4
38	все эти	9	4
39	не может	31	4
40	что не	2	4
41	с его	3	4
42	в себе	4	3
43	и от	2	3
44	о том	13	3
45	это не	8	3
46	к нему	4	3
47	не могут	7	3
48	что он	40	3
49	было бы	18	3
50	различие между	4	3
51	для того	20	3
52	еще не	11	3
53	и есть	8	3
54	все что	2	3
55	в этих	7	3
56	в своих	5	3
57	когда он	3	3
58	и ее	2	3
59	никто не	2	3
60	как бы	11	3
61	хотя бы	5	3
62	могут быть	7	3
63	с ним	6	3
64	мысли и	7	3
65	того что	34	3
66	и то	9	2
67	сказать что	18	2
68	и на	11	2
69	с тем	9	2
70	уже в	4	2
71	что же	2	2
72	и для	3	2
73	что все	9	2
74	ничего кроме	3	2
75	не имеет	7	2
76	ничего не	6	2
77	и с	7	2
78	что и	11	2
79	ее в	3	2
80	и потому	3	2
81	вместо того	5	2
82	в других	2	2
83	в своем	11	2
84	тем что	12	2
85	но в	9	2
86	том что	41	2
87	к этой	3	2
88	что для	2	2
89	все же	5	2
90	в своей	5	2
91	он в	3	2
92	потребность в	4	2
93	так как	20	2
94	по себе	8	2
95	что у	4	2
96	должен был	3	2
97	что они	8	2
98	в истории	3	2
99	так что	8	2
100	должно быть	10	2
101	не есть	4	2
102	с которой	2	2
103	к этому	7	2
104	и к	7	2
105	так и	8	2
106	в которой	8	2
107	и из	2	2
108	в единстве	2	2
109	учение о	3	2
110	в другом	7	2
111	в этот	4	2
112	чем в	6	2
113	ничто не	3	2
114	его в	6	2
