N	2gram	Losev_Dial	Formalny
1	и в	34	95
2	т е	72	94
3	и не	50	78
4	может быть	30	66
5	в этом	14	61
6	не может	29	57
7	и пр	16	53
8	вовсе не	18	53
9	таким образом	14	52
10	и его	8	51
11	так и	11	50
12	точки зрения	43	47
13	в нем	7	42
14	в его	6	42
15	прежде всего	20	41
16	с точки	25	40
17	как и	14	39
18	и т	41	37
19	не в	11	35
20	в самом	9	35
21	в процессе	2	34
22	а не	39	34
23	но и	14	33
24	то же	9	32
25	самом деле	7	32
26	не только	35	30
27	в том	17	26
28	отнюдь не	16	26
29	если бы	10	26
30	то что	25	25
31	на самом	2	24
32	при этом	7	24
33	в своей	4	24
34	в ней	4	23
35	связи с	3	23
36	было бы	13	23
37	в то	9	22
38	и ее	8	22
39	в истории	7	21
40	как бы	19	21
41	что в	12	21
42	и с	10	21
43	в их	2	20
44	не менее	11	20
45	и от	4	20
46	с тем	4	20
47	как мы	4	20
48	же время	5	20
49	место в	2	20
50	не могут	6	19
51	все это	13	19
52	хотя бы	9	19
53	т д	38	19
54	по себе	31	19
55	все же	4	18
56	и все	17	18
57	все эти	4	18
58	в связи	3	18
59	должна быть	11	18
60	с его	7	18
61	только в	10	18
62	именно как	3	17
63	как в	2	17
64	как раз	11	17
65	так же	7	16
66	во всяком	5	16
67	совершенно не	6	16
68	с другой	5	16
69	потому что	21	16
70	всяком случае	3	16
71	его в	2	15
72	все время	4	15
73	но в	3	15
74	бы в	5	15
75	так как	12	15
76	должно быть	7	15
77	во всех	2	15
78	именно в	5	15
79	и на	6	15
80	что он	18	14
81	только на	8	14
82	в ее	5	14
83	в своем	7	14
84	еще не	7	14
85	в жизни	4	14
86	в этой	3	14
87	если мы	5	14
88	и потому	6	14
89	жизни и	8	14
90	вместе с	3	14
91	со стороны	5	13
92	того что	22	13
93	а в	3	13
94	что же	12	13
95	могут быть	5	13
96	что и	8	13
97	независимо от	3	13
98	в результате	7	13
99	она не	10	13
100	тем что	5	13
101	ни в	20	13
102	как таковой	6	13
103	как это	8	12
104	лишь как	4	12
105	и здесь	3	12
106	к тому	4	12
107	и для	5	12
108	оно не	7	12
109	уже не	9	12
110	никогда не	9	11
111	этом отношении	2	11
112	это и	12	11
113	они не	3	11
114	в основе	6	11
115	но не	3	11
116	то ни	4	11
117	что они	2	11
118	для него	4	11
119	зависимости от	4	11
120	не о	6	10
121	не есть	95	10
122	друг друга	3	10
123	в зависимости	3	10
124	мы не	11	10
125	не было	6	10
126	по существу	2	10
127	бы то	3	10
128	другой стороны	4	10
129	с ее	10	10
130	как о	6	10
131	в первом	2	10
132	и как	13	10
133	в своих	3	10
134	раз и	3	10
135	конечно не	6	10
136	он не	8	10
137	если же	8	10
138	в слове	3	10
139	быть и	7	9
140	ничего не	29	9
141	здесь не	2	9
142	но это	10	9
143	и может	2	9
144	или иного	3	9
145	и даже	21	9
146	но ведь	2	9
147	у нас	7	9
148	говорить о	13	9
149	мы знаем	3	9
150	отношения к	4	9
151	это не	13	8
152	была бы	5	8
153	одной стороны	3	8
154	в них	6	8
155	с одной	4	8
156	же как	4	8
157	для этого	3	8
158	что это	20	8
159	с этим	4	8
160	в данном	6	8
161	всех этих	3	8
162	из этого	3	8
163	и является	2	8
164	всего этого	2	8
165	и к	5	8
166	для того	4	8
167	ясно что	16	8
168	и понимания	2	7
169	вот как	2	7
170	следовательно и	2	7
171	том что	18	7
172	в себе	8	7
173	в одной	4	7
174	как таковое	5	7
175	смысла и	3	7
176	как к	2	7
177	что именно	10	7
178	его от	2	7
179	даже и	9	7
180	в сущности	10	7
181	не на	7	7
182	бы быть	2	7
183	сказать что	7	7
184	к этому	3	7
185	того или	6	7
186	пр и	2	7
187	и всякое	2	7
188	в особенности	9	7
189	можно говорить	2	7
190	и наконец	2	7
191	и только	6	7
192	смысл и	2	7
193	сами по	3	7
194	ничем не	7	7
195	что бы	2	7
196	только и	3	7
197	из них	4	7
198	он и	3	7
199	же и	2	7
200	чем же	3	7
201	от этого	5	7
202	данном случае	3	6
203	тем самым	3	6
204	ее и	2	6
205	именно так	2	6
206	в конце	2	6
207	на этом	3	6
208	и тем	3	6
209	в частности	3	6
210	так в	2	6
211	и это	12	6
212	тому что	5	6
213	в этих	3	6
214	его не	3	6
215	нисколько не	4	6
216	познания и	2	6
217	как таковая	5	6
218	должны быть	7	6
219	ее в	3	6
220	из этих	5	6
221	при таком	2	6
222	за пределы	3	6
223	к истории	2	6
224	отличается от	9	6
225	кроме того	8	6
226	от его	2	6
227	но для	3	6
228	от нее	3	6
229	жизнь и	9	6
230	нет и	5	6
231	например в	3	6
232	о том	11	6
233	по преимуществу	2	6
234	их в	2	6
235	в смысле	4	6
236	если он	2	6
237	только не	10	6
238	сам по	6	6
239	с ним	3	6
240	той же	6	6
241	учение о	11	6
242	она должна	3	5
243	ни о	8	5
244	тому чтобы	3	5
245	не можем	3	5
246	виду что	2	5
247	и формы	2	5
248	что оно	9	5
249	от того	9	5
250	или же	3	5
251	в виду	12	5
252	а как	2	5
253	мы уже	6	5
254	может и	3	5
255	отличие от	2	5
256	всего в	2	5
257	от этих	2	5
258	одной из	3	5
259	в него	2	5
260	не приходится	2	5
261	и истории	4	5
262	а только	2	5
263	она есть	17	5
264	то это	9	5
265	что не	8	5
266	и по	2	5
267	даже не	8	5
268	можно сказать	5	5
269	хотя и	9	5
270	бы и	2	5
271	да и	4	5
272	и то	7	5
273	не от	2	5
274	то в	5	5
275	как например	2	5
276	то и	5	5
277	в мире	2	5
278	его как	6	5
279	перестает быть	2	5
280	мы можем	3	5
281	с этой	7	5
282	в условиях	2	5
283	для нас	2	5
284	к нему	4	5
285	ни на	5	5
286	не имеет	18	5
287	учения о	2	5
288	в котором	2	5
289	тому как	5	5
290	становления и	3	5
291	равно как	2	5
292	и что	21	5
293	же в	2	5
294	как на	6	5
