N	3gram	Medvedev_F	Analitik
1	в том что	3	25
2	не может быть	11	19
3	по отношению к	4	18
4	в то же	13	16
5	в данном случае	2	14
6	то же время	13	14
7	в отличие от	2	14
8	с одной стороны	5	9
9	с другой стороны	4	9
10	того или иного	6	9
11	в свою очередь	6	9
12	в том чтобы	3	9
13	в этом отношении	7	8
14	с точки зрения	17	8
15	во всяком случае	6	7
16	тем не менее	2	6
17	но и в	4	5
18	не только не	2	5
19	не сводится к	2	4
20	до известной степени	3	4
21	в самом деле	5	4
22	и не в	2	4
23	для того чтобы	3	4
24	не в том	3	4
25	и тем самым	2	4
26	и в этом	6	4
27	и не может	5	4
28	в значительной степени	3	4
29	в этом смысле	3	4
30	сама по себе	2	4
31	бы то ни	4	3
32	и т п	11	3
33	в противном случае	2	3
34	как раз и	4	3
35	сам по себе	2	3
36	не могут быть	4	3
37	в связи с	9	3
38	сами по себе	4	3
39	в зависимости от	4	3
40	как если бы	2	2
41	в применении к	4	2
42	более или менее	7	2
43	в отрыве от	2	2
44	науки о литературе	3	2
45	но в то	3	2
46	прежде всего в	5	2
47	к тому что	3	2
48	до сих пор	7	2
49	и прежде всего	2	2
50	смысле этого слова	4	2
51	нет и не	2	2
52	в широком смысле	2	2
53	в литературном произведении	2	2
