N	2gram	Nazirov_Tr	formyVre
1	и в	18	148
2	в этом	9	73
3	то есть	3	70
4	в романе	10	58
5	в нем	4	51
6	прежде всего	4	46
7	и не	7	37
8	в его	3	36
9	и его	6	36
10	но и	4	33
11	то же	5	32
12	не только	8	32
13	но в	6	31
14	так и	5	29
15	времени в	2	27
16	может быть	7	27
17	не в	2	26
18	как и	5	25
19	как бы	7	25
20	в то	5	23
21	то что	4	22
22	в том	2	22
23	все эти	3	21
24	же время	6	21
25	в основном	3	19
26	в своем	3	19
27	и на	7	19
28	у него	6	18
29	и все	4	18
30	еще не	4	18
31	при этом	3	17
32	все же	5	16
33	не может	5	16
34	никогда не	2	15
35	в дальнейшем	5	15
36	в одном	2	15
37	с его	2	15
38	так же	4	14
39	все это	4	14
40	и как	3	14
41	в конце	3	14
42	и с	7	14
43	в частности	2	13
44	как в	3	13
45	в самом	2	13
46	с ним	3	13
47	ничего не	2	12
48	отнюдь не	3	12
49	и до	2	12
50	потому что	2	12
51	он не	2	12
52	что в	4	12
53	его в	2	11
54	в образе	6	11
55	ни в	2	11
56	уже в	3	11
57	в ее	2	10
58	уже не	2	10
59	жизнь и	3	9
60	том что	4	9
61	должно быть	3	9
62	и даже	4	9
63	и это	2	9
64	для него	3	9
65	но все	2	9
66	до конца	2	8
67	это не	5	8
68	к тому	2	8
69	отношение к	2	8
70	в целом	4	8
71	один из	3	8
72	что и	2	8
73	и то	2	8
74	в мире	3	8
75	в себе	4	7
76	этого романа	2	7
77	отличие от	2	7
78	и он	3	7
79	с ее	3	7
80	в отличие	2	7
81	не могут	2	6
82	и ее	2	6
83	но эта	2	6
84	а как	2	6
85	с тем	2	6
86	о том	2	6
87	в таком	2	6
88	о чем	3	5
89	так что	2	5
90	ничем не	2	5
91	что все	2	5
92	в этой	4	5
93	в это	2	5
94	об этом	4	5
95	тем что	2	5
96	но они	2	5
97	не имеет	2	5
98	романа и	3	5
99	перед нами	2	4
100	не был	2	4
101	друг друга	2	4
102	что он	6	4
103	между этими	2	4
104	как у	2	4
105	любви и	2	4
106	у достоевского	5	4
107	он был	2	4
108	из самых	2	4
109	в данном	2	4
110	в глаза	2	4
111	несмотря на	5	4
112	раз и	2	4
113	к жизни	5	4
114	вопрос о	2	3
115	как это	3	3
116	это уже	2	3
117	но это	4	3
118	под влиянием	2	3
119	одна из	2	3
120	и детей	2	3
121	нет в	2	3
122	но при	2	3
123	бы и	2	3
124	только к	2	3
125	этими двумя	2	3
126	и здесь	2	3
127	этот образ	4	3
128	не мог	2	3
129	данном случае	2	2
130	от всего	2	2
131	о жизни	2	2
132	он всегда	4	2
133	одном из	2	2
134	к нему	3	2
135	бросается в	2	2
136	в русском	2	2
137	о его	2	2
138	было в	2	2
139	никто не	3	2
140	тут же	2	2
141	имеет в	2	2
142	то и	2	2
143	эпизод с	3	2
144	достоевского в	3	2
145	ее к	2	2
146	личности и	2	2
147	еще в	2	2
148	я не	4	2
149	он сам	7	2
150	только о	2	2
151	и сам	3	2
