N	2gram	Tiupa_Anal	Marksizm
1	точки зрения	10	69
2	может быть	33	64
3	и в	30	63
4	и не	33	55
5	как бы	15	53
6	не может	26	47
7	с точки	6	46
8	и его	9	41
9	в этом	31	39
10	таким образом	5	38
11	в процессе	2	33
12	как мы	3	32
13	языка и	2	31
14	в пределах	11	31
15	лишь в	12	30
16	не только	30	29
17	речи в	3	29
18	в нем	3	28
19	то же	12	28
20	но и	29	27
21	самом деле	3	25
22	речи и	2	25
23	связи с	2	25
24	прежде всего	8	24
25	как и	23	24
26	в самом	12	24
27	так и	16	23
28	и т.п	13	23
29	только в	8	23
30	в том	36	22
31	то что	11	22
32	а не	25	22
33	при этом	20	20
34	для него	5	20
35	том что	21	19
36	не в	17	19
37	в его	15	19
38	если бы	6	19
39	но в	11	18
40	в ее	2	18
41	и для	3	18
42	внутренней речи	9	18
43	вовсе не	4	18
44	все же	4	17
45	в сущности	10	17
46	в то	10	16
47	по отношению	10	16
48	и как	6	16
49	ни было	4	16
50	что он	3	15
51	в связи	2	15
52	во всех	5	15
53	отношению к	9	15
54	отнюдь не	22	15
55	высказывания и	3	15
56	же время	7	15
57	в контексте	5	14
58	в данном	6	14
59	хотя бы	4	14
60	ничего не	10	13
61	того чтобы	3	13
62	было бы	4	13
63	в своей	7	13
64	не является	3	13
65	то ни	3	13
66	что в	7	13
67	в результате	3	12
68	а в	11	12
69	того же	7	12
70	в основе	6	12
71	бы то	3	12
72	для того	4	12
73	он не	4	12
74	между тем	7	12
75	на самом	2	11
76	как в	3	11
77	и все	5	11
78	к нему	4	11
79	и на	10	11
80	высказывания в	4	11
81	не столько	5	11
82	все эти	3	11
83	так как	3	11
84	еще не	5	11
85	и того	5	11
86	и что	2	11
87	как система	6	11
88	мы уже	2	11
89	никогда не	4	10
90	его в	2	10
91	и потому	2	10
92	отличие от	8	10
93	более того	4	10
94	здесь в	2	10
95	без исключения	2	10
96	с его	3	10
97	сказать что	2	10
98	к этому	2	10
99	в своем	2	10
100	совершенно не	2	10
101	в отличие	8	10
102	с другой	7	10
103	именно в	6	10
104	в таком	5	10
105	в себе	17	9
106	одного и	2	9
107	а как	4	9
108	это не	7	9
109	только на	3	9
110	одной из	2	9
111	к тому	12	9
112	в нашем	3	9
113	и более	5	9
114	ни в	5	9
115	же самое	3	9
116	в отношении	2	8
117	или иной	8	8
118	не как	2	8
119	и т.д	4	8
120	в их	8	8
121	тому что	2	8
122	на этой	2	8
123	что не	3	8
124	не будет	3	8
125	что и	5	8
126	этого слова	10	8
127	другой стороны	2	8
128	за пределы	6	8
129	и даже	10	8
130	и их	2	8
131	на то	2	8
132	и с	2	8
133	столь же	7	8
134	сводится к	6	8
135	у него	5	8
136	от него	2	7
137	того что	5	7
138	по себе	6	7
139	те же	3	7
140	место в	3	7
141	и те	2	7
142	могут быть	12	7
143	с ними	2	7
144	в качестве	38	7
145	в этой	12	7
146	в начале	3	7
147	бы в	3	7
148	в этих	3	7
149	следует что	2	7
150	далеко не	6	7
151	о том	11	7
152	в котором	5	7
153	оно может	3	7
154	той же	4	7
155	как раз	5	7
156	на основе	3	7
157	не есть	8	6
158	вопрос о	2	6
159	мы должны	2	6
160	она может	3	6
161	то есть	19	6
162	в другом	4	6
163	от своего	3	6
164	он и	3	6
165	одной стороны	6	6
166	науки о	2	6
167	что же	3	6
168	в какой	3	6
169	все это	2	6
170	с ее	2	6
171	тот же	2	6
172	с другими	4	6
173	из этих	2	6
174	с одной	7	6
175	уже не	6	6
176	в той	8	6
177	не к	3	6
178	этом отношении	5	5
179	о чем	3	5
180	в конце	4	5
181	в виду	2	5
182	и тем	4	5
183	то в	2	5
184	не менее	5	5
185	или в	2	5
186	той или	8	5
187	в первом	3	5
188	в двух	4	5
189	этом случае	4	5
190	хотя и	4	5
191	да и	2	5
192	и внешнего	2	5
193	себя в	8	5
194	тем более	2	5
