N	3gram	Tiupa_Narr	Myslijsy
1	в том что	11	47
2	по отношению к	5	26
3	не может быть	6	19
4	заключает в себе	2	19
5	тем не менее	6	18
6	в свою очередь	2	14
7	то же время	7	13
8	в то же	7	13
9	во всяком случае	2	12
10	более или менее	2	12
11	до сих пор	3	12
12	и т п	2	11
13	подобно тому как	4	11
14	сами по себе	2	11
15	для того чтобы	4	11
16	а в том	2	11
17	с одной стороны	5	10
18	одного и того	2	9
19	о том что	3	9
20	на то что	2	9
21	и того же	2	9
22	но и в	4	9
23	и то же	2	7
24	можно сказать что	5	7
25	одно и то	2	7
26	не только не	2	7
27	в том как	2	7
28	не только в	12	7
29	с точки зрения	2	7
30	то же самое	3	6
31	может быть не	2	6
32	к тому что	4	5
33	в данном случае	12	4
34	в этом отношении	5	4
35	дело в том	2	4
36	в первом случае	3	3
37	тогда как в	2	3
38	и тем самым	6	3
39	точно так же	2	3
40	в связи с	3	3
41	и в жизни	2	3
42	внимание на то	2	3
43	но при этом	3	2
44	не было и	2	2
45	в себе самом	2	2
46	друг на друга	2	2
47	не только от	2	2
48	в этом последнем	2	2
49	состоит в том	5	2
50	и не может	3	2
51	мы имеем дело	4	2
52	что одно и	2	2
