N	3gram	Tiupa_Anal	Myshleni
1	в том что	12	133
2	с точки зрения	2	89
3	по отношению к	9	42
4	с одной стороны	3	39
5	в этом отношении	3	30
6	с другой стороны	7	26
7	о том что	7	25
8	не может быть	2	23
9	можно сказать что	2	21
10	не только не	3	21
11	и тем самым	2	19
12	в отличие от	5	18
13	во всяком случае	6	18
14	состоит в том	2	18
15	одного и того	4	17
16	и того же	4	17
17	одной и той	2	15
18	в известном смысле	2	15
19	в данном случае	11	15
20	и той же	2	15
21	и то что	2	15
22	в свою очередь	7	14
23	подобно тому как	3	14
24	тем не менее	3	12
25	в том чтобы	2	12
26	сама по себе	3	9
27	в конечном счете	5	9
28	том что он	2	9
29	как и в	6	9
30	сам по себе	2	8
31	речь идет о	2	8
32	той или иной	6	8
33	что он не	2	8
34	включает в себя	2	7
35	в свое время	4	5
36	в то же	7	5
37	и как бы	2	5
38	едва ли не	3	5
39	не только в	5	5
40	но и в	2	4
41	мы имеем дело	4	4
42	в значительной степени	3	4
43	и в своей	2	4
44	в соответствии с	2	3
45	совершенно очевидно что	2	3
46	к тому же	7	3
47	того или иного	5	3
48	то же время	7	3
49	дело в том	3	3
50	как мы могли	2	2
51	при этом он	2	2
52	до известной степени	3	2
53	в противоречие с	2	2
54	в ответ на	2	2
55	тот или иной	3	2
56	в той или	2	2
57	в единое целое	2	2
58	не только к	2	2
59	тем или иным	2	2
