N	3gram	Medvedev_V	Vladivir
1	в том что	5	29
2	о том что	3	22
3	в письме к	11	13
4	во всяком случае	2	12
5	в связи с	4	12
6	более или менее	6	11
7	в конце концов	2	11
8	в то же	5	10
9	не может быть	8	10
10	вместе с тем	4	10
11	то же время	5	9
12	с другой стороны	8	6
13	и в то	3	5
14	не только в	2	5
15	по крайней мере	2	4
16	можно сказать что	4	4
17	в этом отношении	14	4
18	также и в	2	4
19	можно было бы	2	4
20	с одной стороны	2	4
21	для того чтобы	3	4
22	и т д	16	4
23	в том чтобы	2	4
24	иметь в виду	2	3
25	в том числе	2	3
26	только то что	2	3
27	только в том	2	3
28	не только не	2	3
29	от июля года	2	3
30	по этому поводу	7	3
31	к тому что	4	3
32	не в том	2	3
33	мы знаем что	2	3
34	хотя бы и	5	3
35	вот что пишет	2	3
36	после того как	2	2
37	до сих пор	2	2
38	не может не	2	2
39	из них не	2	2
40	а значит и	3	2
41	по этому вопросу	2	2
42	одной стороны и	2	2
43	как это делает	3	2
44	в этой области	3	2
45	это и есть	3	2
46	по одному тому	2	2
