N	2gram	Bakhtin_Pr	VelikijI
1	и не	42	20
2	и в	38	16
3	то что	8	9
4	еще не	7	8
5	в истории	2	8
6	и потому	4	7
7	а не	5	7
8	не есть	6	6
9	в мире	3	5
10	как бы	22	5
11	но и	9	5
12	все это	3	5
13	хотя и	3	5
14	того что	2	5
15	что все	2	4
16	к личности	2	4
17	и все	3	4
18	как и	7	4
19	в котором	2	4
20	все что	3	4
21	в нем	15	4
22	в ней	4	4
23	что не	4	4
24	в его	43	4
25	говорить о	3	4
26	в этом	15	4
27	что он	2	4
28	и есть	2	4
29	так и	5	4
30	никогда не	5	3
31	что в	7	3
32	в том	8	3
33	и для	11	3
34	не имеет	9	3
35	но в	4	3
36	ни в	11	3
37	но это	3	3
38	должно быть	5	3
39	оно не	3	3
40	хотя бы	4	3
41	в своей	7	3
42	во всех	11	3
43	к чему	2	3
44	в них	5	3
45	что и	2	3
46	не было	2	3
47	лишь в	2	3
48	и что	2	3
49	не в	7	3
50	все эти	5	3
51	в этих	2	3
52	должна быть	4	3
53	в чем	2	3
54	с его	2	3
55	да и	3	2
56	одна из	2	2
57	но не	12	2
58	нет и	3	2
59	не могли	2	2
60	и это	3	2
61	это не	5	2
62	не только	9	2
63	не могут	2	2
64	а в	6	2
65	том что	3	2
66	и во	2	2
67	от него	3	2
68	а к	2	2
69	могут быть	5	2
70	не к	6	2
71	нас за	3	2
72	ивана карамазова	2	2
73	ценности и	2	2
74	того чтобы	2	2
75	тем что	2	2
76	человека как	2	2
77	конечно не	5	2
78	можно было	4	2
79	только в	13	2
80	в форме	4	2
81	в себя	2	2
82	прежде всего	13	2
83	и т	14	2
84	с ним	5	2
85	его не	2	2
86	между тем	7	2
87	не с	4	2
